,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1366,componenti principali
2,"Energia,  Ric con fibra", kJ,1366,componenti principali
3,"Energia,  ricalcolata", kcal,328,componenti principali
4,"Energia,  Ric con fibra", kcal,328,componenti principali
5,Proteine totali, g,"30,7",componenti principali
6,   Proteine animali, g,"30,7",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"22,8",componenti principali
9,   Lipidi animali, g,"22,8",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,90,componenti principali
12,Carboidrati disponibili (MSE), g,tr,componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,tr,componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"40,0",componenti principali
18,Ferro, mg,"0,4",minerali ed elementi in traccia
19,Calcio, mg,770,minerali ed elementi in traccia
20,Sodio, mg,897,minerali ed elementi in traccia
21,Potassio, mg,97,minerali ed elementi in traccia
22,Fosforo, mg,530,minerali ed elementi in traccia
23,Zinco, mg,"2,20",minerali ed elementi in traccia
24,Magnesio, mg,39,minerali ed elementi in traccia
25,Rame, mg,"0,05",minerali ed elementi in traccia
26,Selenio, µg,"4,0",minerali ed elementi in traccia
27,Cloro, mg,1570,minerali ed elementi in traccia
28,Iodio, µg,5,minerali ed elementi in traccia
29,Manganese, mg,tr,minerali ed elementi in traccia
30,Zolfo, mg,230,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,03",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,35",vitamine idrosolubili
33,Vitamina C, mg,tr,vitamine idrosolubili
34,Niacina, mg,"0,07",vitamine idrosolubili
35,Vitamina B6, mg,"0,09",vitamine idrosolubili
36,Folati totali, µg,40,vitamine idrosolubili
37,Acido pantotenico, mg,"0,38",vitamine idrosolubili
38,Biotina, µg,"1,8",vitamine idrosolubili
39,Vitamina B12, µg,"2,1",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,200,retinolo equivalente
41,   Retinolo, µg,175,retinolo equivalente
42,   ß-carotene eq., µg,150,retinolo equivalente
43,Vitamina E (ATE), mg,"0,48",retinolo equivalente
44,Vitamina D, µg,"0,19",retinolo equivalente
45,Acidi grassi saturi totali, g,"13,36",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"2,03",acidi grassi
47,Acido laurico, g,"0,70",acidi grassi
48,Acido miristico, g,"2,34",acidi grassi
49,Acido palmitico, g,"5,83",acidi grassi
50,Acido stearico, g,"2,47",acidi grassi
51,Acido arachidico, g,"0,00",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"6,97",acidi grassi
54,Acido miristoleico, g,"0,44",acidi grassi
55,Acido palmitoleico, g,"0,63",acidi grassi
56,Acido oleico, g,"5,89",acidi grassi
57,Acidi eicosenoico, g,"0,00",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"0,76",acidi grassi
60,Acido linoleico, g,"0,44",acidi grassi
61,Acido linolenico, g,"0,32",acidi grassi
62,Acido arachidonico, g,"0,00",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
66,Triptofano, mg,367,aminoacidi
67,Treonina, mg,964,aminoacidi
68,Isoleucina, mg,1552,aminoacidi
69,Leucina, mg,2677,aminoacidi
70,Lisina, mg,2363,aminoacidi
71,Metionina, mg,901,aminoacidi
72,Cistina, mg,149,aminoacidi
73,Fenilalanina, mg,1522,aminoacidi
74,Tirosina, mg,1599,aminoacidi
75,Valina, mg,1967,aminoacidi
76,Arginina, mg,960,aminoacidi
77,Istidina, mg,791,aminoacidi
78,Alanina, mg,909,aminoacidi
79,Acido aspartico, mg,1977,aminoacidi
80,Acido glutammico, mg,6826,aminoacidi
81,Glicina, mg,542,aminoacidi
82,Prolina, mg,2890,aminoacidi
83,Serina, mg,1512,aminoacidi
84,Glucosio, g,"0,0",zuccheri
85,Fruttosio, g,"0,0",zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,0",zuccheri
88,Maltosio (MSE), g,"0,0",zuccheri
89,Lattosio (MSE), g,tr,zuccheri
