,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1051,componenti principali
2,"Energia,  Ric con fibra", kJ,1051,componenti principali
3,"Energia,  ricalcolata", kcal,253,componenti principali
4,"Energia,  Ric con fibra", kcal,253,componenti principali
5,Proteine totali, g,"18,7",componenti principali
6,   Proteine animali, g,"18,7",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"19,5",componenti principali
9,   Lipidi animali, g,"19,5",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,46,componenti principali
12,Carboidrati disponibili (MSE), g,"0,7",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"0,7",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"58,8",componenti principali
18,Ferro, mg,"0,4",minerali ed elementi in traccia
19,Calcio, mg,160,minerali ed elementi in traccia
20,Sodio, mg,200,minerali ed elementi in traccia
21,Potassio, mg,145,minerali ed elementi in traccia
22,Fosforo, mg,350,minerali ed elementi in traccia
23,Zinco, mg,"2,60",minerali ed elementi in traccia
24,Magnesio, mg,10,minerali ed elementi in traccia
25,Rame, mg,tr,minerali ed elementi in traccia
26,Selenio, µg,"3,0",minerali ed elementi in traccia
27,Cloro, mg,813,minerali ed elementi in traccia
28,Iodio, µg,4,minerali ed elementi in traccia
29,Manganese, mg,tr,minerali ed elementi in traccia
30,Zolfo, mg,110,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,03",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,27",vitamine idrosolubili
33,Vitamina C, mg,0,vitamine idrosolubili
34,Niacina, mg,"0,40",vitamine idrosolubili
35,Vitamina B6, mg,"0,07",vitamine idrosolubili
36,Folati totali, µg,16,vitamine idrosolubili
37,Acido pantotenico, mg,"0,21",vitamine idrosolubili
38,Biotina, µg,"1,8",vitamine idrosolubili
39,Vitamina B12, µg,"1,7",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,205,retinolo equivalente
41,   Retinolo, µg,183,retinolo equivalente
42,   ß-carotene eq., µg,130,retinolo equivalente
43,Vitamina E (ATE), mg,"0,39",retinolo equivalente
44,Vitamina D, µg,"0,12",retinolo equivalente
45,Acidi grassi saturi totali, g,"11,43",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"1,73",acidi grassi
47,Acido laurico, g,"0,60",acidi grassi
48,Acido miristico, g,"2,00",acidi grassi
49,Acido palmitico, g,"4,98",acidi grassi
50,Acido stearico, g,"2,11",acidi grassi
51,Acido arachidico, g,"0,00",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"5,96",acidi grassi
54,Acido miristoleico, g,"0,38",acidi grassi
55,Acido palmitoleico, g,"0,54",acidi grassi
56,Acido oleico, g,"5,04",acidi grassi
57,Acidi eicosenoico, g,"0,00",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"0,65",acidi grassi
60,Acido linoleico, g,"0,38",acidi grassi
61,Acido linolenico, g,"0,27",acidi grassi
62,Acido arachidonico, g,"0,00",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,00",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
66,Triptofano, mg,180,aminoacidi
67,Treonina, mg,540,aminoacidi
68,Isoleucina, mg,480,aminoacidi
69,Leucina, mg,1400,aminoacidi
70,Lisina, mg,1200,aminoacidi
71,Metionina, mg,570,aminoacidi
72,Cistina, mg,140,aminoacidi
73,Fenilalanina, mg,820,aminoacidi
74,Tirosina, mg,880,aminoacidi
75,Valina, mg,630,aminoacidi
76,Arginina, mg,550,aminoacidi
77,Istidina, mg,460,aminoacidi
78,Alanina, mg,530,aminoacidi
79,Acido aspartico, mg,1150,aminoacidi
80,Acido glutammico, mg,3000,aminoacidi
81,Glicina, mg,330,aminoacidi
82,Prolina, mg,1650,aminoacidi
83,Serina, mg,900,aminoacidi
84,Glucosio, g,"0,0",zuccheri
85,Fruttosio, g,"0,0",zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,0",zuccheri
88,Maltosio (MSE), g,"0,0",zuccheri
89,Lattosio (MSE), g,"0,7",zuccheri
