,components,unit,value,section
0,Parte edibile, %,100,componenti principali
1,"Energia,  ricalcolata", kJ,1491,componenti principali
2,"Energia,  Ric con fibra", kJ,1491,componenti principali
3,"Energia,  ricalcolata", kcal,359,componenti principali
4,"Energia,  Ric con fibra", kcal,359,componenti principali
5,Proteine totali, g,"26,7",componenti principali
6,   Proteine animali, g,"26,7",componenti principali
7,   Proteine vegetali, g,"0,0",componenti principali
8,Lipidi totali, g,"27,3",componenti principali
9,   Lipidi animali, g,"27,3",componenti principali
10,   Lipidi vegetali, g,"0,0",componenti principali
11,Colesterolo, mg,86,componenti principali
12,Carboidrati disponibili (MSE), g,"1,7",componenti principali
13,   Amido (MSE), g,"0,0",componenti principali
14,   Carboidrati solubili (MSE), g,"1,7",componenti principali
15,Fibra alimentare totale, g,"0,0",componenti principali
16,Alcol, g,"0,0",componenti principali
17,Acqua, g,"39,0",componenti principali
18,Ferro, mg,"1,6",minerali ed elementi in traccia
19,Calcio, mg,32,minerali ed elementi in traccia
20,Sodio, mg,1693,minerali ed elementi in traccia
21,Potassio, mg,494,minerali ed elementi in traccia
22,Fosforo, mg,356,minerali ed elementi in traccia
23,Zinco, mg,"3,70",minerali ed elementi in traccia
24,Magnesio, mg,32,minerali ed elementi in traccia
25,Rame, mg,"0,14",minerali ed elementi in traccia
26,Selenio, µg,"3,0",minerali ed elementi in traccia
27,Cloro, mg,3270,minerali ed elementi in traccia
28,Iodio, µg,15,minerali ed elementi in traccia
29,Manganese, mg,"0,04",minerali ed elementi in traccia
30,Zolfo, mg,193,minerali ed elementi in traccia
31,"Vitamina B1,  Tiamina", mg,"0,16",vitamine idrosolubili
32,"Vitamina B2,  Riboflavina", mg,"0,14",vitamine idrosolubili
33,Vitamina C, mg,tr,vitamine idrosolubili
34,Niacina, mg,"2,50",vitamine idrosolubili
35,Vitamina B6, mg,"0,36",vitamine idrosolubili
36,Folati totali, µg,3,vitamine idrosolubili
37,Acido pantotenico, mg,"1,66",vitamine idrosolubili
38,Biotina, µg,"7,0",vitamine idrosolubili
39,Vitamina B12, µg,"2,0",vitamine idrosolubili
40,   Retinolo eq. (RE), µg,0,retinolo equivalente
41,   Retinolo, µg,0,retinolo equivalente
42,   ß-carotene eq., µg,0,retinolo equivalente
43,Vitamina E (ATE), mg,"0,23",retinolo equivalente
44,Vitamina D, µg,"0,90",retinolo equivalente
45,Acidi grassi saturi totali, g,"8,04",acidi grassi
46,"Somma degli acidi butirrico,  caproico,  caprilico e caprico", g,"0,00",acidi grassi
47,Acido laurico, g,"0,00",acidi grassi
48,Acido miristico, g,"0,35",acidi grassi
49,Acido palmitico, g,"4,77",acidi grassi
50,Acido stearico, g,"2,63",acidi grassi
51,Acido arachidico, g,"0,29",acidi grassi
52,Acido beenico, g,"0,00",acidi grassi
53,Acidi grassi monoinsaturi totali, g,"12,02",acidi grassi
54,Acido miristoleico, g,"0,00",acidi grassi
55,Acido palmitoleico, g,"0,64",acidi grassi
56,Acido oleico, g,"10,69",acidi grassi
57,Acidi eicosenoico, g,"0,69",acidi grassi
58,Acido erucico, g,"0,00",acidi grassi
59,Acidi grassi polinsaturi totali, g,"4,89",acidi grassi
60,Acido linoleico, g,"4,10",acidi grassi
61,Acido linolenico, g,"0,20",acidi grassi
62,Acido arachidonico, g,"0,34",acidi grassi
63,Acido eicosapentaenoico (EPA), g,"0,25",acidi grassi
64,Acido decosaesaenoico (DHA), g,"0,00",acidi grassi
65,Altri acidi grassi polinsaturi, g,"0,00",acidi grassi
66,Triptofano, mg,291,aminoacidi
67,Treonina, mg,1186,aminoacidi
68,Isoleucina, mg,1320,aminoacidi
69,Leucina, mg,2245,aminoacidi
70,Lisina, mg,2330,aminoacidi
71,Metionina, mg,706,aminoacidi
72,Cistina, mg,301,aminoacidi
73,Fenilalanina, mg,1157,aminoacidi
74,Tirosina, mg,1053,aminoacidi
75,Valina, mg,1397,aminoacidi
76,Arginina, mg,1608,aminoacidi
77,Istidina, mg,989,aminoacidi
78,Alanina, mg,1645,aminoacidi
79,Acido aspartico, mg,2599,aminoacidi
80,Acido glutammico, mg,4159,aminoacidi
81,Glicina, mg,1213,aminoacidi
82,Prolina, mg,1082,aminoacidi
83,Serina, mg,1114,aminoacidi
84,Glucosio, g,"1,7",zuccheri
85,Fruttosio, g,"0,0",zuccheri
86,Galattosio, g,"0,0",zuccheri
87,Saccarosio (MSE), g,"0,0",zuccheri
88,Maltosio (MSE), g,"0,0",zuccheri
89,Lattosio (MSE), g,"0,0",zuccheri
