,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,72.7
2,Proteine (g):,20.5
3,Lipidi(g):,5
4,Colesterolo (mg):,
5,Carboidrati disponibili (g):,0
6,Amido (g):,0
7,Zuccheri solubili (g):,0
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,127
13,Energia (kJ):,531
14,Sodio (mg):,41
15,Potassio (mg):,330
16,Ferro (mg):,1.9
17,Calcio (mg):,4
18,Fosforo (mg):,200
19,Magnesio (mg):,20
20,Zinco (mg):,2.8
21,Rame (mg):,0.08
22,Selenio (µg):,17
23,Tiamina (mg):,0.09
24,Riboflavina (mg):,0.19
25,Niacina (mg):,4.7
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
