,Composizione chimica,valore per 100g
0,Parte edibile (%):,76
1,Acqua (g):,85.7
2,Proteine (g):,4.2
3,Lipidi(g):,0.5
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,4.2
6,Amido (g):,0.8
7,Zuccheri solubili (g):,3.3
8,Fibra totale (g):,5
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,37
13,Energia (kJ):,155
14,Sodio (mg):,6
15,Potassio (mg):,450
16,Ferro (mg):,1.1
17,Calcio (mg):,51
18,Fosforo (mg):,50
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.08
24,Riboflavina (mg):,0.14
25,Niacina (mg):,0.7
26,Vitamina A retinolo eq. (µg):,220
27,Vitamina C (mg):,81
28,Vitamina E (mg):,
