,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,94.3
2,Proteine (g):,0.7
3,Lipidi(g):,0.3
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,3.2
6,Amido (g):,0
7,Zuccheri solubili (g):,3.2
8,Fibra totale (g):,1.1
9,Fibra solubile (g):,0.17
10,Fibra insolubile (g):,0.97
11,Alcol (g):,0
12,Energia (kcal):,18
13,Energia (kJ):,73
14,Sodio (mg):,
15,Potassio (mg):,
16,Ferro (mg):,0.3
17,Calcio (mg):,18
18,Fosforo (mg):,26
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.04
24,Riboflavina (mg):,0.03
25,Niacina (mg):,0.3
26,Vitamina A retinolo eq. (µg):,10
27,Vitamina C (mg):,3
28,Vitamina E (mg):,
