,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,2.3
2,Proteine (g):,5.6
3,Lipidi(g):,62
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,6.4
6,Amido (g):,0
7,Zuccheri solubili (g):,6.4
8,Fibra totale (g):,13.7
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,604
13,Energia (kJ):,2529
14,Sodio (mg):,28
15,Potassio (mg):,660
16,Ferro (mg):,3.6
17,Calcio (mg):,23
18,Fosforo (mg):,160
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.03
24,Riboflavina (mg):,0.05
25,Niacina (mg):,0.9
26,Vitamina A retinolo eq. (µg):,0
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
