,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,0.8
2,Proteine (g):,6.9
3,Lipidi(g):,32.4
4,Colesterolo (mg):,2
5,Carboidrati disponibili (g):,58.1
6,Amido (g):,tr
7,Zuccheri solubili (g):,58.1
8,Fibra totale (g):,
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,537
13,Energia (kJ):,2247
14,Sodio (mg):,50
15,Potassio (mg):,370
16,Ferro (mg):,3.6
17,Calcio (mg):,143
18,Fosforo (mg):,164
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.03
24,Riboflavina (mg):,0.1
25,Niacina (mg):,0.45
26,Vitamina A retinolo eq. (µg):,
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
