,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,11.2
2,Proteine (g):,22.7
3,Lipidi(g):,1
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,51.1
6,Amido (g):,44.8
7,Zuccheri solubili (g):,1.8
8,Fibra totale (g):,13.8
9,Fibra solubile (g):,0.92
10,Fibra insolubile (g):,12.91
11,Alcol (g):,0
12,Energia (kcal):,291
13,Energia (kJ):,1219
14,Sodio (mg):,8
15,Potassio (mg):,980
16,Ferro (mg):,8
17,Calcio (mg):,57
18,Fosforo (mg):,376
19,Magnesio (mg):,83
20,Zinco (mg):,2.9
21,Rame (mg):,1
22,Selenio (µg):,10.5
23,Tiamina (mg):,0.47
24,Riboflavina (mg):,0.2
25,Niacina (mg):,2
26,Vitamina A retinolo eq. (µg):,10
27,Vitamina C (mg):,tr
28,Vitamina E (mg):,
