,Composizione chimica,valore per 100g
0,Parte edibile (%):,87
1,Acqua (g):,75.2
2,Proteine (g):,20.2
3,Lipidi(g):,3.2
4,Colesterolo (mg):,64
5,Carboidrati disponibili (g):,0
6,Amido (g):,0
7,Zuccheri solubili (g):,0
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,110
13,Energia (kJ):,459
14,Sodio (mg):,76
15,Potassio (mg):,370
16,Ferro (mg):,1.6
17,Calcio (mg):,12
18,Fosforo (mg):,233
19,Magnesio (mg):,17
20,Zinco (mg):,2.4
21,Rame (mg):,0.15
22,Selenio (µg):,14
23,Tiamina (mg):,1.35
24,Riboflavina (mg):,0.2
25,Niacina (mg):,4.5
26,Vitamina A retinolo eq. (µg):,tr
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
