,Composizione chimica,valore per 100g
0,Parte edibile (%):,82
1,Acqua (g):,92.3
2,Proteine (g):,0.9
3,Lipidi(g):,0.3
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,4.2
6,Amido (g):,0
7,Zuccheri solubili (g):,4.2
8,Fibra totale (g):,1.9
9,Fibra solubile (g):,0.43
10,Fibra insolubile (g):,1.47
11,Alcol (g):,0
12,Energia (kcal):,22
13,Energia (kJ):,92
14,Sodio (mg):,2
15,Potassio (mg):,210
16,Ferro (mg):,0.7
17,Calcio (mg):,17
18,Fosforo (mg):,28
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.05
24,Riboflavina (mg):,0.07
25,Niacina (mg):,0.5
26,Vitamina A retinolo eq. (µg):,139
27,Vitamina C (mg):,151
28,Vitamina E (mg):,
