,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,70
2,Proteine (g):,3.9
3,Lipidi(g):,0.4
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,20.4
6,Amido (g):,0
7,Zuccheri solubili (g):,20.4
8,Fibra totale (g):,2
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,96
13,Energia (kJ):,400
14,Sodio (mg):,
15,Potassio (mg):,250
16,Ferro (mg):,2.2
17,Calcio (mg):,27
18,Fosforo (mg):,85
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.2
24,Riboflavina (mg):,0.1
25,Niacina (mg):,3.1
26,Vitamina A retinolo eq. (µg):,
27,Vitamina C (mg):,43
28,Vitamina E (mg):,
