,Composizione chimica,valore per 100g
0,Parte edibile (%):,67
1,Acqua (g):,65.9
2,Proteine (g):,25
3,Lipidi(g):,6.8
4,Colesterolo (mg):,58
5,Carboidrati disponibili (g):,0
6,Amido (g):,0
7,Zuccheri solubili (g):,0
8,Fibra totale (g):,0
9,Fibra solubile (g):,0
10,Fibra insolubile (g):,0
11,Alcol (g):,0
12,Energia (kcal):,161
13,Energia (kJ):,674
14,Sodio (mg):,40
15,Potassio (mg):,175
16,Ferro (mg):,1.5
17,Calcio (mg):,12
18,Fosforo (mg):,200
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,0.08
24,Riboflavina (mg):,0.15
25,Niacina (mg):,7.5
26,Vitamina A retinolo eq. (µg):,
27,Vitamina C (mg):,0
28,Vitamina E (mg):,
