,Composizione chimica,valore per 100g
0,Parte edibile (%):,100
1,Acqua (g):,64.8
2,Proteine (g):,2.1
3,Lipidi(g):,tr
4,Colesterolo (mg):,0
5,Carboidrati disponibili (g):,24
6,Amido (g):,1
7,Zuccheri solubili (g):,22.9
8,Fibra totale (g):,0.9
9,Fibra solubile (g):,
10,Fibra insolubile (g):,
11,Alcol (g):,0
12,Energia (kcal):,98
13,Energia (kJ):,412
14,Sodio (mg):,1120
15,Potassio (mg):,5901
16,Ferro (mg):,0.2
17,Calcio (mg):,25
18,Fosforo (mg):,43
19,Magnesio (mg):,
20,Zinco (mg):,
21,Rame (mg):,
22,Selenio (µg):,
23,Tiamina (mg):,1
24,Riboflavina (mg):,0.09
25,Niacina (mg):,2.1
26,Vitamina A retinolo eq. (µg):,230
27,Vitamina C (mg):,2
28,Vitamina E (mg):,
