name,"acidi grassi, monoinsaturi | g","acidi grassi, polinsaturi | g","acidi grassi, saturi | g",acido ascorbico (vit. c) | g,acido folico (vit. b9 o m o folacina) | g,acido pantotenico (vit. b5) | g,alpha-tocoferolo (vit. e) | g,amido | g,beta-sistosterolo | g,betaina | g,caffeina | g,calcio | g,calorie | kcal,campesterolo | g,carboidrati | g,"carotene, alfa | g","carotene, beta | g",category,cobalamina (vit. b12) | g,colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",ferro | g,fibre | g,fillochinone (vit. k) | g,fitosteroli | g,fluoro | g,"folati, totali | g",folato alimentare | g,fosforo | g,galattosio | g,grassi | g,lattosio | g,licopene | g,luteina + zeaxantina | g,magnesio | g,manganese | g,niacina (vit. b3) | g,piridossina (vit. b6) | g,potassio | g,proteine | g,rame | g,retinolo (vit. a) | g,riboflavina (vit. b2) | g,selenio | g,sodio | g,stigmasterolo | g,teobromina | g,tiamina (vit. b1) | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,"vitamina b-12, aggiunta | g","vitamina e, aggiunta | g",zinco | g
pasta sfoglia,,,,,,,0.00055,,,,0.0,,558.0,,,0.0,0.0,prodotti da forno,,0.0,0.006200000000000001,0.0,,,1.63e-05,,,,,,,,,0.0,3.9e-05,,,,,,,,,,,,,0.0,,,,,,0.0,
nestle - buitoni risotto di mare buitoni,,,0.30000001192092896,,,,,,,,,,115.0,,17.2000007629395,,,"pasti completi, antipasti e contorni",,,,,,1.0,,,,,,,,2.79999995231628,,,,,,,,,5.1999998092651385,,,,,0.27,,,,,,,,,
loacker classic chocolat dark noir 118 grammi,,,,,,,,,,,,,515.0,,56.0999984741211,,,prodotti da forno,,,,,,,,,,,,,,28.899999618530305,,,,,,,,,7.699999809265139,,,,,,,,,,,,,,
"croissant, al burro",,,,,,,0.00084,,,,0.0,,406.0,,,0.0,3.7999999999999995e-05,prodotti da forno,,0.067,0.0388,1e-06,,,1.8e-06,,,,,,,,,0.0,7.4e-05,,,,,,,,,,,,,0.0,,,,,,0.0,
"lombo di maiale, magro, brasato",,,,,,,0.00021,,,,0.0,,222.0,,,0.0,0.0,maiale,,0.08700000000000001,0.08600000000000001,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
muffin inglese preparati con farina di frumento,,,,,,,0.00045000000000000004,,,,0.0,,223.0,,,0.0,2e-06,prodotti da forno,,0.0,0.0137,0.0,,,8e-07,,,,,,,,,0.0,9.2e-05,,,,,,,,,,,,,0.0,,,,,,0.0,
loacker chip choc dark noir,,,,,,,,,,,,,511.0,,59.2999992370605,,,prodotti da forno,,,,,,,,,,,,,,27.100000381469695,,,,,,,,,7.5,,,,,,,,,,,,,,
caviale,,,,,,,0.00189,,,,0.0,,264.0,,,0.0,0.0,pesci,,0.588,0.4909,0.0,,,6e-07,,,,,,,,,0.0,0.0006479999999999999,,,,,,,,,,,,,0.0,,,,,,0.0,
barilla - mulino bianco pan di casa - filone grano tenero,,,2.0,,,,,,,,,,265.0,,46.5999984741211,,,prodotti da forno,,,,,,3.0,,,,,,,,5.0,,,,,,,,,8.5,,,,,0.66,,,,,,,,,
ricotta di pecora,,,,,,,0.00011,,,,0.0,,174.0,,,0.0,3.2999999999999996e-05,latticini e uova,,0.051000000000000004,0.0175,0.0,,,1.1e-06,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
knorr vellutata di carciofi di gerusalemme,,,,,,,,,,,,,35.0,,4.0,,,"pasti completi, antipasti e contorni",,,,,,,,,,,,,,2.0,,,,,,,,,0.699999988079071,,,,,,,,,,,,,,
semi di senape,,,,,,,0.005070000000000001,,,,0.0,,508.0,,,0.0,1.8e-05,spezie ed erbe,,0.0,0.1227,0.0,,,5.4e-06,0.11800000000000001,,,,,,,,0.0,0.0005679999999999999,,,,,,,,,,,,,0.0,,0.0,0.0008100000000000001,0.01982,,0.0,
"riso e cereali, per l'infanzia",,,,,,,0.005,,,,0.0,,391.0,,,0.0,0.0,cibi per bambini,,0.0,0.018000000000000002,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
"cereali, kellogg's corn flakes",,,,,,,0.00013000000000000002,,,,0.0,,361.0,,,1.8999999999999998e-05,0.00016199999999999998,cereali per colazione,,0.0,0.0039,4.9999999999999996e-05,,,0.0,,,,,,,,,0.0,0.000339,,,,,,,,,,,,,0.0,,,,,,0.0,
pavesi togo classic latte,,,,,,,,,,,,,507.0,,63.4000015258789,,,prodotti da forno,,,,,,,,,,,,,,25.5,,,,,,,,,6.0,,,,,,,,,,,,,,
nestle - motta kids - coppa sorpresa indiana jones,,,,,,,,,,,,,197.0,,26.100000381469695,,,dolci,,,,,,,,,,,,,,8.60000038146973,,,,,,,,,3.5999999046325697,,,,,,,,,,,,,,
granarolo - prima natura bio stracchino prima natura bio,,,,,,,,,,,,,255.0,,1.39999997615814,,,latticini e uova,,,,,,,,,,,,,,21.0,,,,,,,,,15.0,,,,,,,,,,,,,,
muesli con nocciole e frutta secca,,,,,,,0.007200000000000001,,,,0.0,,340.0,,,0.0,0.0,cereali per colazione,,0.0,0.022600000000000002,0.0,,,2.8999999999999998e-06,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.007200000000000001,
