,Notation,Name
0,1:0,Formic acid
1,2:0,Acetic acid
2,3:0,Propanoic acid; Propionic acid acid
3,4:0,Butanoic acid; Butyric acid; Butyric acid; 1-Propanecarboxylic acid; Ethylacetic acid; n-Butanoic acid; n-Butyric acid
4,5:0,"Pentanoic acid; Valeric acid; Valeric acid, 1-Butanecarboxylic acid, n-Pentanoic acid"
5,4-O=5:0,"Pentanoic acid, 4-oxo-"
6,6:0,Hexanoic acid; Caproic acid; 1-Hexanoic acid; 1-Pentanecarboxylic acid; Butylacetic acid; Caproic acid; Capronic acid; Pentylformic acid; n-Caproic acid; n-Hexano...
7,1-Ph-1:0,Benzoic acid; Benzenecarboxylic acid; Benzeneformic acid; Benzenemethanoic acid; Carboxybenzene
8,7:1-delta-3,3-Heptenoic acid; β-heptenoic acid
9,7:0,Heptanoic acid; 1-Hexanecarboxylic acid
10,8:1,Octenoic acid; structure ambiguous
11,8:0,Octanoic acid; Caprylic acid; 1-Heptanecarboxylic acid; Caprylic acid;`
12,5-COOH-5:0,"Hexanedioic acid; Adipic acid; 1,4-Butanedicarboxylic acid; 1,6-Hexanedioic acid; Acifloctin; Acinetten; Adilactetten; Adipinic acid; Asapic; E 355; Inipol DS; NSC ..."
13,9:1,Nonenoic acid; structure ambiguous
14,"8-OH-8:2-delta-5,6allene","8-Hydroxy-5,6-octadienoic acid; 5,6-Octadienoic acid, 8-hydroxy-"
15,8-O=8:0,"Octanoic acid, 8-oxo-"
16,6-O=8:0,"Octanoic acid, 6-oxo-"
17,9:0,Nonanoic acid; Pelargonic acid; Pelargonic acid;1-Octanecarboxylic acid; Nonoic acid; Nonylic acid; n-Nonanoic acid; n-Nonoic acid; n-Nonylic acid; n-Pelargonic ...
18,6-COOH-6:0,"Heptanedioic acid; Pimelic acid; Pimelic acid ;Pileric acid; 1,5-Pentanedicarboxylic acid"
19,"10:2-delta-2t,4c","2,4-Decadienoic acid, (2E,4Z)-; 2,4-Decadienoic acid, (E,Z)-; Stillingic acid; trans-2-cis-4-Decadienoic acid"
20,10:1cy,2-Cyclopentene-1-pentanoic acid; 2-Cyclopentene-1-valeric acid; Aleprestic acid
21,"10:2-delta-2t,4t","2,4-Decadienoic acid, (E,E)-"
22,"10:2-delta-2,4","2,4-Decadienoic acid; Structure ambiguous"
23,10:2,Decadienoic acid; structure ambiguous: double bond positions and configuration not specified
24,10:1,Decenoic acid; structure ambiguous
25,10:1-delta-4c,"4-Decenoic acid, (4Z)-; Obtusilic acid; 4-Decenoic acid, (Z)-; (Z)-4-Decenoic acid; 4-cis-Decenoic acid; Obtusilic acid; cis-4-Decenoic acid"
26,9-O=9:0,"Nonanoic acid, 9-oxo-"
27,7-Me-9:0,"Nonanoic acid, 7-methyl-"
28,10:0,Decanoic acid; Capric acid; 1-Decanoic acid; Capric acid; Caprinic acid; Caprynic acid; Decoic acid; Decylic acid; n-Capric acid; n-Decanoic acid; n-Decoic acid; ...
29,7-COOH-7:0,"Octanedioic acid; Suberic acid; 1,6-Dicarboxyhexane; 1,6-Hexanedicarboxylic acid; 1,8-Octanedioic acid; Cork acid; Hexamethylenedicarboxylic acid; NSC 25952; NSC 53777"
30,11:1,Undecenoic acid; structure ambiguous
31,9-O=10:0,"Decanoic acid, 9-oxo-"
