,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,90.60,,
2,Calorie,kcal,24.00,,
3,Fibra alimentare,g,1.30,,
4,Proteine totali,g,0.90,,19.47
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.90,,
7,Glucidi disponibili,g,3.50,,70.80
8,Glucidi solubili,g,3.50,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.20,,9.73
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.20,,
13,Lipidi saturi totali,g,0.03,,
14,Acido oleico,g,0.03,,
15,Monoinsaturi totali,g,0.03,,
16,Acido linoleico,g,0.07,,
17,Acido linolenico,g,0.07,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.14,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.20,,
23,Calcio,mg,22.00,2.75,
24,Sodio,mg,450.00,,
25,Potassio,mg,93.00,3.00,
26,Fosforo,mg,23.00,2.88,
27,Zinco,mg,0.10,1.00,
28,Tiamina (Vit.B1),mg,0.02,1.42,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.00,0.00,
31,Niacina (Vit. PP),mg,0.10,0.55,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,1.67,1.43,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,10.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.31,3.10,
