,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,59.00,,
2,Calorie,kcal,192.00,,
3,Fibra alimentare,g,0.20,,
4,Proteine totali,g,4.80,,9.91
5,Proteine animali,g,4.20,,
6,Proteine vegetali,g,0.60,,
7,Glucidi disponibili,g,30.70,,60.38
8,Glucidi solubili,g,25.90,,
9,Amido,g,4.80,,
10,Lipidi totali,g,6.40,,29.72
11,Lipidi animali,g,6.40,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,2.63,,
14,Acido oleico,g,2.12,,
15,Monoinsaturi totali,g,2.39,,
16,Acido linoleico,g,0.53,,
17,Acido linolenico,g,0.53,,
18,Altri polinsaturi,g,0.03,,
19,Polinsaturi totali,g,1.09,,
20,Colesterolo,mg,68.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.80,,
23,Calcio,mg,97.00,12.12,
24,Sodio,mg,38.00,,
25,Potassio,mg,110.00,3.55,
26,Fosforo,mg,136.00,17.00,
27,Zinco,mg,0.80,8.00,
28,Tiamina (Vit.B1),mg,0.08,5.67,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.16,10.00,
31,Niacina (Vit. PP),mg,0.10,0.55,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,114.67,21.14,
35,Retinolo,mcg,108.00,,
36,Carotene,mcg,40.00,,
37,Vitamina D,mcg,0.70,7.00,
38,Vitamina E,mg,0.49,4.90,
