,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,52.50,,
2,Calorie,kcal,266.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,19.10,,28.75
5,Proteine animali,g,19.10,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,2.50,,3.52
8,Glucidi solubili,g,2.50,,
9,Amido,g,0.00,,
10,Lipidi totali,g,20.00,,67.73
11,Lipidi animali,g,20.00,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,12.41,,
14,Acido oleico,g,5.47,,
15,Monoinsaturi totali,g,6.47,,
16,Acido linoleico,g,0.41,,
17,Acido linolenico,g,0.41,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.82,,
20,Colesterolo,mg,90.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.30,,
23,Calcio,mg,360.00,45.00,
24,Sodio,mg,770.00,,
25,Potassio,mg,93.00,3.00,
26,Fosforo,mg,300.00,37.50,
27,Zinco,mg,1.00,10.00,
28,Tiamina (Vit.B1),mg,0.03,2.13,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.30,18.75,
31,Niacina (Vit. PP),mg,0.10,0.55,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,342.50,68.57,
35,Retinolo,mcg,315.00,,
36,Carotene,mcg,165.00,,
37,Vitamina D,mcg,0.24,2.40,
38,Vitamina E,mg,0.54,5.40,
