,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,90.50,,
2,Calorie,kcal,36.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,3.60,,39.98
5,Proteine animali,g,3.60,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,5.30,,55.03
8,Glucidi solubili,g,5.30,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.20,,5.00
11,Lipidi animali,g,0.20,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,0.14,,
14,Acido oleico,g,0.04,,
15,Monoinsaturi totali,g,0.05,,
16,Acido linoleico,g,0.01,,
17,Acido linolenico,g,0.01,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.02,,
20,Colesterolo,mg,2.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.10,,
23,Calcio,mg,122.00,15.25,
24,Sodio,mg,52.00,,
25,Potassio,mg,150.00,4.84,
26,Fosforo,mg,97.00,12.12,
27,Zinco,mg,0.40,4.00,
28,Tiamina (Vit.B1),mg,0.04,2.84,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.18,11.25,
31,Niacina (Vit. PP),mg,0.10,0.55,
32,Vitamina C,mg,1.00,1.67,
33,Acido folico,mg,5.00,2.50,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.00,0.00,
