,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,12.40,,
2,Calorie,kcal,356.00,,
3,Fibra alimentare,g,2.60,,
4,Proteine totali,g,10.80,,11.01
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,10.80,,
7,Glucidi disponibili,g,82.80,,88.30
8,Glucidi solubili,g,2.70,,
9,Amido,g,80.10,,
10,Lipidi totali,g,0.30,,0.69
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.30,,
13,Lipidi saturi totali,g,0.07,,
14,Acido oleico,g,0.03,,
15,Monoinsaturi totali,g,0.03,,
16,Acido linoleico,g,0.17,,
17,Acido linolenico,g,0.17,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.34,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.30,,
23,Calcio,mg,17.00,2.12,
24,Sodio,mg,5.00,,
25,Potassio,mg,160.00,5.16,
26,Fosforo,mg,165.00,20.62,
27,Zinco,mg,1.50,15.00,
28,Tiamina (Vit.B1),mg,0.14,9.93,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.11,6.87,
31,Niacina (Vit. PP),mg,2.00,10.97,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,34.00,17.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.00,0.00,
