,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,67.20,,
2,Calorie,kcal,180.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,20.20,,44.94
5,Proteine animali,g,20.20,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.00,,0.00
8,Glucidi solubili,g,0.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,11.00,,55.06
11,Lipidi animali,g,11.00,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,1.90,,
14,Acido oleico,g,2.40,,
15,Monoinsaturi totali,g,4.40,,
16,Acido linoleico,g,0.30,,
17,Acido linolenico,g,0.30,,
18,Altri polinsaturi,g,2.60,,
19,Polinsaturi totali,g,3.20,,
20,Colesterolo,mg,50.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.40,,
23,Calcio,mg,21.00,2.62,
24,Sodio,mg,45.00,,
25,Potassio,mg,360.00,11.61,
26,Fosforo,mg,250.00,31.25,
27,Zinco,mg,0.60,6.00,
28,Tiamina (Vit.B1),mg,0.23,16.31,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.13,8.12,
31,Niacina (Vit. PP),mg,7.20,39.50,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,16.00,8.00,
34,Retinolo (equivalente),mcg,13.00,1.86,
35,Retinolo,mcg,13.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,8.00,80.00,
38,Vitamina E,mg,1.91,19.10,
