,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,8.00,,
2,Calorie,kcal,315.00,,
3,Fibra alimentare,g,18.10,,
4,Proteine totali,g,10.60,,13.40
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,10.60,,
7,Glucidi disponibili,g,42.70,,50.47
8,Glucidi solubili,g,42.70,,
9,Amido,g,0.00,,
10,Lipidi totali,g,12.70,,36.13
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,12.70,,
13,Lipidi saturi totali,g,7.03,,
14,Acido oleico,g,1.75,,
15,Monoinsaturi totali,g,1.87,,
16,Acido linoleico,g,0.53,,
17,Acido linolenico,g,0.53,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,1.06,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,28.10,,
23,Calcio,mg,1650.00,206.25,
24,Sodio,mg,11.00,,
25,Potassio,mg,1070.00,34.52,
26,Fosforo,mg,91.00,11.38,
27,Zinco,mg,4.70,47.00,
28,Tiamina (Vit.B1),mg,0.11,7.80,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.34,21.25,
31,Niacina (Vit. PP),mg,5.70,31.27,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,590.00,505.71,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,3540.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,9.15,91.50,
