,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,88.00,,
2,Calorie,kcal,23.00,,
3,Fibra alimentare,g,5.10,,
4,Proteine totali,g,1.90,,33.46
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,1.90,,
7,Glucidi disponibili,g,3.80,,62.57
8,Glucidi solubili,g,3.80,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.10,,3.96
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.10,,
13,Lipidi saturi totali,g,0.03,,
14,Acido oleico,g,0.02,,
15,Monoinsaturi totali,g,0.02,,
16,Acido linoleico,g,0.05,,
17,Acido linolenico,g,0.05,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.10,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.50,,
23,Calcio,mg,52.00,6.50,
24,Sodio,mg,91.00,,
25,Potassio,mg,460.00,14.84,
26,Fosforo,mg,90.00,11.25,
27,Zinco,mg,0.30,3.00,
28,Tiamina (Vit.B1),mg,0.07,4.96,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.11,6.87,
31,Niacina (Vit. PP),mg,0.50,2.74,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,51.00,25.50,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.52,5.20,
