,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,89.20,,
2,Calorie,kcal,36.00,,
3,Fibra alimentare,g,0.10,,
4,Proteine totali,g,0.50,,5.58
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.50,,
7,Glucidi disponibili,g,8.80,,91.90
8,Glucidi solubili,g,8.80,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.10,,2.51
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.10,,
13,Lipidi saturi totali,g,0.01,,
14,Acido oleico,g,0.01,,
15,Monoinsaturi totali,g,0.02,,
16,Acido linoleico,g,0.02,,
17,Acido linolenico,g,0.02,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.04,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.20,,
23,Calcio,mg,10.00,1.25,
24,Sodio,mg,10.00,,
25,Potassio,mg,150.00,4.84,
26,Fosforo,mg,13.00,1.62,
27,Zinco,mg,0.00,0.00,
28,Tiamina (Vit.B1),mg,0.08,5.67,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.02,1.25,
31,Niacina (Vit. PP),mg,0.20,1.10,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,20.00,10.00,
34,Retinolo (equivalente),mcg,2.83,2.43,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,17.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.17,1.70,
