Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Biscotti,Biscuits and cakes,Sugary snacks
Grassi,21 g,"+15%18,3 g","+14%18,4 g","-6%22,3 g"
- Acidi Grassi saturi,"9,5 g","+32%7,2 g","+28%7,41 g","-13%10,9 g"
Carboidrati,63 g,"-5%66,6 g","-3%64,7 g","+7%58,8 g"
- Zuccheri,25 g,"+5%23,9 g","+2%24,4 g","-7%26,8 g"
Fibra alimentare,"4,4 g","+12%3,94 g","+13%3,88 g","0%4,39 g"
Proteine,"7,7 g","+10%6,99 g","+10%6,99 g","+8%7,15 g"
Sale,"0,5 g","-17%0,604 g","-15%0,591 g","+6%0,472 g"
Sodio,"0,197 g","-17%0,238 g","-15%0,233 g","+6%0,186 g"
Nutrition score - France,18,"+22%14,8","+18%15,2","+8%16,7"
Nutri-Score,D,D,D,D
