Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (11 g),Biscotti,Biscuits and cakes,Sugary snacks
Grassi,"18,5 g","2,04 g","+1%18,3 g","+1%18,4 g","-17%22,3 g"
- Acidi Grassi saturi,"1,8 g","0,198 g","-75%7,2 g","-76%7,41 g","-83%10,9 g"
Carboidrati,"61,4 g","6,75 g","-8%66,6 g","-5%64,7 g","+4%58,8 g"
- Zuccheri,"15,5 g","1,71 g","-35%23,9 g","-36%24,4 g","-42%26,8 g"
Fibra alimentare,8 g,"0,88 g","+103%3,94 g","+106%3,88 g","+82%4,39 g"
Proteine,"8,3 g","0,913 g","+19%6,99 g","+19%6,99 g","+16%7,15 g"
Sale,"0,7 g","0,077 g","+16%0,604 g","+18%0,591 g","+48%0,472 g"
Sodio,"0,276 g","0,03 g","+16%0,238 g","+18%0,233 g","+48%0,186 g"
Fosforo,270 mg,"29,7 mg",?,?,?
Ferro,"2,6 mg","0,286 mg",?,?,?
Magnesio,70 mg,"7,7 mg",?,?,?
Nutrition score - France,7,7,"-53%14,8","-54%15,2","-58%16,7"
Nutri-Score,C,C,D,D,D
