Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Breadsticks,Pani,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"8,7 g","-11%9,75 g","+8%8,05 g","+39%6,24 g","-19%10,7 g","-9%9,61 g"
- Acidi Grassi saturi,"1,2 g","-54%2,63 g","-45%2,2 g","-29%1,7 g","-49%2,36 g","-43%2,12 g"
Carboidrati,"59,3 g","-14%69,3 g","+1%58,6 g","-1%59,9 g","+25%47,6 g","+35%43,9 g"
- Zuccheri,"0,9 g","-64%2,47 g","-72%3,25 g","-86%6,61 g","-90%8,59 g","-90%8,81 g"
Fibra alimentare,"9,9 g","+141%4,11 g","+113%4,64 g","+108%4,75 g","+126%4,38 g","+144%4,06 g"
Proteine,"17,7 g","+58%11,2 g","+96%9,02 g","+87%9,48 g","+128%7,76 g",+153%7 g
Sale,"2,2 g","+4%2,12 g","+26%1,74 g","+202%0,729 g","+271%0,593 g","+313%0,533 g"
Sodio,"0,866 g","+4%0,835 g","+26%0,685 g","+202%0,287 g","+271%0,233 g","+313%0,21 g"
Nutrition score - France,10,"-12%11,3","+27%7,89","+227%3,06","+225%3,08","+158%3,87"
Nutri-Score,C,D,C,C,C,C
