Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Bee products,Miele,Sweeteners,Farming products,Sweet spreads,Spreads,Breakfasts
Grassi,0 g,0 g,0 g,"-100%1,46 g","-100%3,31 g","-100%12,7 g","-100%27,2 g","-100%12,1 g"
- Acidi Grassi saturi,0 g,0 g,0 g,"-100%0,887 g","-100%1,12 g","-100%3,4 g",-100%12 g,"-100%3,41 g"
Carboidrati,?,"74,6 g","74,6 g","75,2 g","48,5 g",58 g,"44,9 g","60,7 g"
- Zuccheri,82 g,"+9%75,1 g","+9%75,1 g","+9%75,5 g","+56%52,6 g","+43%57,4 g","+85%44,3 g","+94%42,3 g"
Proteine,"0,2 g","-42%0,346 g","-42%0,346 g","-62%0,533 g","-96%4,94 g","-93%2,85 g","-94%3,55 g","-96%5,4 g"
Sale,0 g,"-100%0,332 g","-100%0,332 g","-100%0,291 g","-100%0,333 g","-100%0,147 g","-100%0,172 g","-100%0,292 g"
Sodio,0 g,"-100%0,131 g","-100%0,131 g","-100%0,115 g","-100%0,131 g","-100%0,058 g","-100%0,068 g","-100%0,115 g"
Nutrition score - France,13,?,?,?,?,-19%16,-19%16,"+7%12,1"
Nutri-Score,D,B,B,B,B,D,D,D
