Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (125 g),Formaggio,Fermented foods,Fermented milk products,Latticini
Grassi,18 g,"22,5 g","-13%20,7 g","+51%11,9 g","+51%11,9 g","+17%15,4 g"
- Acidi Grassi saturi,13 g,"16,2 g","-5%13,7 g","+65%7,9 g","+65%7,9 g","+35%9,61 g"
Carboidrati,2 g,"2,5 g","-19%2,46 g","-72%7,16 g","-72%7,16 g","-67%6,1 g"
- Zuccheri,1 g,"1,25 g","-27%1,37 g","-84%6,16 g","-84%6,16 g","-82%5,42 g"
Proteine,17 g,"21,2 g",+6%16 g,+70%10 g,+70%10 g,"+115%7,89 g"
Sale,"0,7 g","0,875 g","-24%0,921 g","+32%0,529 g","+32%0,529 g","+73%0,405 g"
Sodio,"0,276 g","0,344 g","-24%0,363 g","+32%0,208 g","+32%0,208 g","+73%0,159 g"
Calcio,320 mg,400 mg,-39%523 mg,-14%374 mg,-14%374 mg,+19%268 mg
Fosforo,230 mg,287 mg,?,?,?,?
Nutrition score - France,10,10,"-4%10,4","+58%6,32","+58%6,32","+71%5,86"
Nutri-Score,C,C,D,C,C,C
