Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Mueslis with fruits,Mixed cereal flakes,Mueslis,Flakes,Cereal flakes,Breakfast cereals,Breakfasts,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"9,6 g","-17%11,5 g","-30%13,8 g","-30%13,8 g","-21%12,1 g","-21%12,1 g","-15%11,3 g","-21%12,1 g","+81%5,31 g","+54%6,24 g","-10%10,7 g","-0%9,61 g"
- Acidi Grassi saturi,2 g,"-42%3,43 g","-48%3,83 g","-48%3,83 g","-40%3,32 g","-40%3,32 g","-42%3,47 g","-42%3,43 g","+39%1,44 g","+18%1,7 g","-15%2,36 g","-6%2,12 g"
Carboidrati,"72,9 g","+17%62,3 g","+19%61,2 g","+19%61,2 g","+16%62,7 g","+16%62,7 g","+13%64,5 g","+20%60,7 g","+21%60,4 g","+22%59,9 g","+53%47,6 g","+66%43,9 g"
- Zuccheri,"24,5 g","+16%21,1 g","+18%20,7 g","+18%20,7 g",+36%18 g,+36%18 g,"+28%19,1 g",-42%42 g,"+220%7,65 g","+271%6,61 g","+185%8,59 g","+178%8,81 g"
Fibra alimentare,"3,9 g",?,"-50%7,76 g","-50%7,76 g","-48%7,45 g","-48%7,45 g","-47%7,34 g","-27%5,35 g","-18%4,77 g","-18%4,75 g","-11%4,38 g","-4%4,06 g"
Proteine,"6,8 g","-22%8,76 g","-26%9,21 g","-26%9,21 g","-27%9,31 g","-27%9,31 g","-26%9,21 g","+24%5,47 g","-31%9,84 g","-28%9,48 g","-12%7,76 g",-3%7 g
Sale,"0,5 g","+116%0,231 g","+81%0,277 g","+81%0,277 g","+40%0,358 g","+40%0,358 g","-0%0,502 g","+71%0,292 g","+63%0,307 g","-31%0,729 g","-16%0,593 g","-6%0,533 g"
Sodio,"0,197 g","+116%0,091 g","+81%0,109 g","+81%0,109 g","+40%0,141 g","+40%0,141 g","-0%0,198 g","+71%0,115 g","+63%0,121 g","-31%0,287 g","-16%0,233 g","-6%0,21 g"
Nutrition score - France,9,"+55%5,82","+20%7,5","+20%7,5","+38%6,54","+38%6,54","+18%7,61","-24%11,9","+926%0,877","+194%3,06","+192%3,08","+133%3,87"
Nutri-Score,C,C,C,C,C,C,C,D,B,C,C,C
