Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (19.1 g),Biscotti,Biscuits and cakes,Sugary snacks
Grassi,"24,1 g","4,6 g","+32%18,3 g","+31%18,4 g","+8%22,3 g"
- Acidi Grassi saturi,"8,4 g","1,6 g","+17%7,2 g","+13%7,41 g","-23%10,9 g"
Carboidrati,"60,9 g","11,6 g","-9%66,6 g","-6%64,7 g","+4%58,8 g"
- Zuccheri,"44,6 g","8,52 g","+87%23,9 g","+83%24,4 g","+66%26,8 g"
Proteine,"8,3 g","1,59 g","+19%6,99 g","+19%6,99 g","+16%7,15 g"
Sale,"0,608 g","0,116 g","+1%0,604 g","+3%0,591 g","+29%0,472 g"
Sodio,"0,239 g","0,046 g","+1%0,238 g","+3%0,233 g","+29%0,186 g"
Nutrition score - France,25,25,"+69%14,8","+64%15,2","+50%16,7"
Nutri-Score,E,E,D,D,D
