Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Vegetable fats,Olio vegetale,Fats,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,93 g,"+1%92,2 g","+1%92,2 g","+7%86,7 g","+1.668%5,26 g","+1.398%6,21 g","+769%10,7 g","+868%9,61 g"
- Acidi Grassi saturi,"9,3 g","-43%16,2 g","-43%16,2 g",-70%31 g,"+560%1,41 g","+454%1,68 g","+296%2,35 g","+341%2,11 g"
- Acidi grassi polinsaturi,"65,1 g",?,?,?,?,?,?,?
Carboidrati,0 g,0 g,0 g,"-100%0,492 g","-100%60,4 g","-100%59,9 g","-100%47,6 g","-100%43,9 g"
- Zuccheri,0 g,0 g,0 g,"-100%0,327 g","-100%7,6 g","-100%6,57 g","-100%8,57 g","-100%8,8 g"
Proteine,0 g,0 g,0 g,"-100%1,27 g","-100%9,83 g","-100%9,47 g","-100%7,75 g","-100%6,98 g"
Sale,0 g,0 g,0 g,"-100%0,048 g","-100%0,307 g","-100%0,732 g","-100%0,594 g","-100%0,534 g"
Sodio,0 g,0 g,0 g,"-100%0,019 g","-100%0,121 g","-100%0,288 g","-100%0,234 g","-100%0,21 g"
Nutrition score - France,11,0%11,0%11,"-22%14,1","+1.143%0,885","+257%3,08","+255%3,1","+184%3,88"
Nutri-Score,D,D,D,D,B,C,C,C
