Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Pastas,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"2,1 g","-4%2,19 g","-60%5,26 g","-66%6,21 g","-80%10,7 g","-78%9,61 g"
- Acidi Grassi saturi,"0,4 g","-31%0,583 g","-72%1,41 g","-76%1,68 g","-83%2,35 g","-81%2,11 g"
Carboidrati,66 g,"+2%64,7 g","+9%60,4 g","+10%59,9 g","+39%47,6 g","+50%43,9 g"
- Zuccheri,"3,2 g","+11%2,89 g","-58%7,6 g","-51%6,57 g","-63%8,57 g","-64%8,8 g"
Fibra alimentare,"7,7 g","+85%4,17 g","+64%4,7 g","+63%4,71 g","+77%4,35 g","+91%4,03 g"
Proteine,12 g,+9%11 g,"+22%9,83 g","+27%9,47 g","+55%7,75 g","+72%6,98 g"
Sale,0 g,"-100%0,097 g","-100%0,307 g","-100%0,732 g","-100%0,594 g","-100%0,534 g"
Sodio,0 g,"-100%0,038 g","-100%0,121 g","-100%0,288 g","-100%0,234 g","-100%0,21 g"
Nutrition score - France,-6,-32,"-778%0,885","-295%3,08","-294%3,1","-255%3,88"
Nutri-Score,A,A,B,C,C,C
