Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Cereales-et-pommes-de-terre,Aliments-d-origine-vegetale,Aliments-et-boissons-a-base-de-vegetaux
Grassi,"1,5 g","-91%17,5 g","-94%24,4 g","-93%22,9 g"
- Acidi Grassi saturi,"0,3 g","-88%2,47 g","-92%3,57 g","-91%3,35 g"
Carboidrati,"70,2 g","+39%50,4 g","+70%41,2 g","+79%39,2 g"
- Zuccheri,"3,4 g","0%3,39 g","+12%3,04 g","-2%3,47 g"
Fibra alimentare,"2,9 g",?,"-46%5,38 g","-41%4,89 g"
Proteine,13 g,"+59%8,2 g","+57%8,27 g","+68%7,75 g"
Sale,"0,01 g","-99%0,83 g","-99%0,889 g","-99%0,833 g"
Sodio,"0,004 g","-99%0,327 g","-99%0,35 g","-99%0,328 g"
Nutrition score - France,-4,"-169%5,83","-161%6,6","-162%6,44"
Nutri-Score,A,C,C,C
