Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (85 g),Pastas,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"2,5 g","2,12 g","+14%2,19 g","-53%5,31 g","-60%6,24 g","-77%10,7 g","-74%9,61 g"
- Acidi Grassi saturi,"0,5 g","0,425 g","-14%0,583 g","-65%1,44 g","-71%1,7 g","-79%2,36 g","-76%2,12 g"
Carboidrati,"65,7 g","55,8 g","+2%64,7 g","+9%60,4 g","+10%59,9 g","+38%47,6 g","+50%43,9 g"
- Zuccheri,"3,5 g","2,98 g","+21%2,89 g","-54%7,65 g","-47%6,61 g","-59%8,59 g","-60%8,81 g"
Fibra alimentare,"6,5 g","5,53 g","+56%4,17 g","+36%4,77 g","+37%4,75 g","+48%4,38 g","+60%4,06 g"
Proteine,13 g,"11,1 g",+18%11 g,"+32%9,84 g","+37%9,48 g","+68%7,76 g",+86%7 g
Sale,"0,013 g","0,011 g","-87%0,097 g","-96%0,307 g","-98%0,729 g","-98%0,593 g","-98%0,533 g"
Sodio,"0,005 g","0,004 g","-87%0,038 g","-96%0,121 g","-98%0,287 g","-98%0,233 g","-98%0,21 g"
Fosforo,280 mg,238 mg,?,?,?,?,?
Ferro,3 mg,"2,55 mg",?,?,?,?,?
Magnesio,85 mg,"72,3 mg",?,?,?,?,?
Zinco,2 mg,"1,7 mg",?,?,?,?,?
Nutrition score - France,-6,-6,-32,"-784%0,877","-296%3,06","-295%3,08","-255%3,87"
Nutri-Score,A,A,A,B,C,C,C
