Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"0,4 g","-92%5,26 g","-94%6,21 g","-96%10,7 g","-96%9,61 g"
- Acidi Grassi saturi,"0,1 g","-93%1,41 g","-94%1,68 g","-96%2,35 g","-95%2,11 g"
Carboidrati,80 g,"+32%60,4 g","+34%59,9 g","+68%47,6 g","+82%43,9 g"
- Zuccheri,"< 0,5 g","-93%7,6 g","-92%6,57 g","-94%8,57 g","-94%8,8 g"
Fibra alimentare,1 g,"-79%4,7 g","-79%4,71 g","-77%4,35 g","-75%4,03 g"
Proteine,"6,7 g","-32%9,83 g","-29%9,47 g","-14%7,75 g","-4%6,98 g"
Sale,"0,01 g","-97%0,307 g","-99%0,732 g","-98%0,594 g","-98%0,534 g"
Sodio,"0,004 g","-97%0,121 g","-99%0,288 g","-98%0,234 g","-98%0,21 g"
Nutrition score - France,-1,"-213%0,885","-132%3,08","-132%3,1","-126%3,88"
Nutri-Score,A,B,C,C,C
