Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (200 g),Pastas,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,0 g,0 g,"-100%2,19 g","-100%5,26 g","-100%6,21 g","-100%10,7 g","-100%9,61 g"
- Acidi Grassi saturi,0 g,0 g,"-100%0,583 g","-100%1,41 g","-100%1,68 g","-100%2,35 g","-100%2,11 g"
Carboidrati,0 g,0 g,"-100%64,7 g","-100%60,4 g","-100%59,9 g","-100%47,6 g","-100%43,9 g"
- Zuccheri,0 g,0 g,"-100%2,89 g","-100%7,6 g","-100%6,57 g","-100%8,57 g","-100%8,8 g"
Fibra alimentare,"3,56 g","7,12 g","-15%4,17 g","-24%4,7 g","-24%4,71 g","-18%4,35 g","-12%4,03 g"
Proteine,0 g,0 g,-100%11 g,"-100%9,83 g","-100%9,47 g","-100%7,75 g","-100%6,98 g"
Sale,0 g,0 g,"-100%0,097 g","-100%0,307 g","-100%0,732 g","-100%0,594 g","-100%0,534 g"
Sodio,0 g,0 g,"-100%0,038 g","-100%0,121 g","-100%0,288 g","-100%0,234 g","-100%0,21 g"
Alcol,0 % vol,0 % vol,?,?,?,0 % vol,0 % vol
Nutrition score - France,-5,-5,-32,"-665%0,885","-262%3,08","-261%3,1","-229%3,88"
Nutri-Score,A,A,A,B,C,C,C
