,0,1,2
1,Parte edibile (%):,95,
2,Acqua (g):,90.5,
3,Proteine (g):,2.1,
4,Lipidi(g):,0.1,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,2.4,
7,Amido (g):,tr,
8,Zuccheri solubili (g):,2.4,
9,Fibra totale (g):,2.9,
10,Fibra solubile (g):,0.71,
11,Fibra insolubile (g):,2.14,
12,Alcol (g):,0,
13,Energia (kcal):,18,
14,Energia (kJ):,75,
15,Sodio (mg):,2,
16,Potassio (mg):,280,
17,Ferro (mg):,0.9,
18,Calcio (mg):,35,
19,Fosforo (mg):,48,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.07,
25,Riboflavina (mg):,0.15,
26,Niacina (mg):,0.8,
27,Vitamina A retinolo eq. (µg):,41,
28,Vitamina C (mg):,6,
29,Vitamina E (mg):,,
