,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,10.2,
3,Proteine (g):,11.7,
4,Lipidi(g):,2.3,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,65,
7,Amido (g):,,
8,Zuccheri solubili (g):,,
9,Fibra totale (g):,14.3,
10,Fibra solubile (g):,3.58,
11,Fibra insolubile (g):,10.69,
12,Alcol (g):,0,
13,Energia (kcal):,311,
14,Energia (kJ):,1302,
15,Sodio (mg):,,
16,Potassio (mg):,,
17,Ferro (mg):,,
18,Calcio (mg):,,
19,Fosforo (mg):,,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,,
25,Riboflavina (mg):,,
26,Niacina (mg):,,
27,Vitamina A retinolo eq. (µg):,0,
28,Vitamina C (mg):,0,
29,Vitamina E (mg):,,
