,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,89.5,
3,Proteine (g):,3.2,
4,Lipidi(g):,1.6,
5,Colesterolo (mg):,7,
6,Carboidrati disponibili (g):,5.1,
7,Amido (g):,0,
8,Zuccheri solubili (g):,5.1,
9,Fibra totale (g):,0,
10,Fibra solubile (g):,0,
11,Fibra insolubile (g):,0,
12,Alcol (g):,0,
13,Energia (kcal):,46,
14,Energia (kJ):,194,
15,Sodio (mg):,,
16,Potassio (mg):,,
17,Ferro (mg):,0.1,
18,Calcio (mg):,120,
19,Fosforo (mg):,94,
20,Magnesio (mg):,11,
21,Zinco (mg):,0.37,
22,Rame (mg):,0.01,
23,Selenio (µg):,1.6,
24,Tiamina (mg):,,
25,Riboflavina (mg):,,
26,Niacina (mg):,,
27,Vitamina A retinolo eq. (µg):,,
28,Vitamina C (mg):,1,
29,Vitamina E (mg):,0.04,
