,0,1,2
1,Parte edibile (%):,29,
2,Acqua (g):,4.3,
3,Proteine (g):,31.9,
4,Lipidi(g):,50.3,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,4,
7,Amido (g):,0.1,
8,Zuccheri solubili (g):,3.9,
9,Fibra totale (g):,4.5,
10,Fibra solubile (g):,0.76,
11,Fibra insolubile (g):,3.77,
12,Alcol (g):,0,
13,Energia (kcal):,595,
14,Energia (kJ):,2491,
15,Sodio (mg):,,
16,Potassio (mg):,,
17,Ferro (mg):,2,
18,Calcio (mg):,40,
19,Fosforo (mg):,466,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.39,
25,Riboflavina (mg):,0.25,
26,Niacina (mg):,2.7,
27,Vitamina A retinolo eq. (µg):,9,
28,Vitamina C (mg):,0,
29,Vitamina E (mg):,,
