,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,94.2,
3,Proteine (g):,1.2,
4,Lipidi(g):,0.2,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,2.8,
7,Amido (g):,0,
8,Zuccheri solubili (g):,2.8,
9,Fibra totale (g):,1,
10,Fibra solubile (g):,0.24,
11,Fibra insolubile (g):,0.77,
12,Alcol (g):,0,
13,Energia (kcal):,17,
14,Energia (kJ):,72,
15,Sodio (mg):,3,
16,Potassio (mg):,290,
17,Ferro (mg):,0.4,
18,Calcio (mg):,11,
19,Fosforo (mg):,26,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.03,
25,Riboflavina (mg):,0.03,
26,Niacina (mg):,0.7,
27,Vitamina A retinolo eq. (µg):,42,
28,Vitamina C (mg):,21,
29,Vitamina E (mg):,,
