,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,76.5,
3,Proteine (g):,18.4,
4,Lipidi(g):,4.6,
5,Colesterolo (mg):,375,
6,Carboidrati disponibili (g):,0.8,
7,Amido (g):,0,
8,Zuccheri solubili (g):,0.8,
9,Fibra totale (g):,0,
10,Fibra solubile (g):,0,
11,Fibra insolubile (g):,0,
12,Alcol (g):,0,
13,Energia (kcal):,118,
14,Energia (kJ):,494,
15,Sodio (mg):,180,
16,Potassio (mg):,230,
17,Ferro (mg):,8,
18,Calcio (mg):,9,
19,Fosforo (mg):,220,
20,Magnesio (mg):,16,
21,Zinco (mg):,2.6,
22,Rame (mg):,0.81,
23,Selenio (µg):,145,
24,Tiamina (mg):,0.37,
25,Riboflavina (mg):,2.25,
26,Niacina (mg):,5.8,
27,Vitamina A retinolo eq. (µg):,345,
28,Vitamina C (mg):,13,
29,Vitamina E (mg):,,
