,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,66.4,
3,Proteine (g):,3.9,
4,Lipidi(g):,4.6,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,15.6,
7,Amido (g):,tr,
8,Zuccheri solubili (g):,15.6,
9,Fibra totale (g):,,
10,Fibra solubile (g):,,
11,Fibra insolubile (g):,,
12,Alcol (g):,0,
13,Energia (kcal):,116,
14,Energia (kJ):,483,
15,Sodio (mg):,4,
16,Potassio (mg):,390,
17,Ferro (mg):,,
18,Calcio (mg):,600,
19,Fosforo (mg):,33,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.11,
25,Riboflavina (mg):,,
26,Niacina (mg):,,
27,Vitamina A retinolo eq. (µg):,215,
28,Vitamina C (mg):,tr,
29,Vitamina E (mg):,,
