,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,58.9,
3,Proteine (g):,13.7,
4,Lipidi(g):,23.3,
5,Colesterolo (mg):,62,
6,Carboidrati disponibili (g):,1.4,
7,Amido (g):,1.3,
8,Zuccheri solubili (g):,0,
9,Fibra totale (g):,0,
10,Fibra solubile (g):,0,
11,Fibra insolubile (g):,0,
12,Alcol (g):,0,
13,Energia (kcal):,270,
14,Energia (kJ):,1129,
15,Sodio (mg):,793,
16,Potassio (mg):,140,
17,Ferro (mg):,1.2,
18,Calcio (mg):,14,
19,Fosforo (mg):,130,
20,Magnesio (mg):,11,
21,Zinco (mg):,1.6,
22,Rame (mg):,0.08,
23,Selenio (µg):,,
24,Tiamina (mg):,0.15,
25,Riboflavina (mg):,0.3,
26,Niacina (mg):,2.72,
27,Vitamina A retinolo eq. (µg):,tr,
28,Vitamina C (mg):,0,
29,Vitamina E (mg):,,
