,0,1,2,3,4,5
1,"Categoria merceologica: 11001 - pesci vertebrati (freschi, surgelati o cotti)",,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",70,02,1302,,
6,"Energia, ricalcolata, kJ",985,86,,,
7,"Energia, Ric con fibra, kJ",985,86,,,
8,"Energia, ricalcolata, kcal",237,86,,,
9,"Energia, Ric con fibra, kcal",237,86,,,
10,"Proteine totali, g",14.6,02,1302,,
11,"Proteine animali, g",14.6,02,1302,,
12,"Proteine vegetali, g",0.0,02,1302,,
13,"Lipidi totali, g",19.6,02,1302,,
14,"Lipidi animali, g",19.6,02,1302,,
15,"Lipidi vegetali, g",0.0,02,1302,,
16,"Colesterolo, mg",88,AO,120240,,
17,"Carboidrati disponibili (MSE), g",0.7,02,1302,,
18,"Amido (MSE), g",0.0,02,1302,,
19,"Carboidrati solubili (MSE), g",0.7,02,1302,,
20,"Fibra alimentare totale, g",0.0,02,1302,,
21,"Alcol, g",0.0,02,1302,,
22,"Acqua, g",62.8,02,1302,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",0.6,02,1302,,
25,"Calcio, mg",17,02,1302,,
26,"Sodio, mg",87,02,1302,,
27,"Potassio, mg",270,02,1302,,
28,"Fosforo, mg",223,02,1302,,
29,"Zinco, mg",2.50,G,173,2,"""Eel, raw"" acqua71.3g, lip 11.3g, prot 16.6g"
30,"Magnesio, mg",27,AO,120230,2,"""Anguilla di fiume"" acqua 61.5g, lip 23.7g, prot 11.8g"
31,"Rame, mg",0.07,G,173,2,
32,"Selenio, µg",18.0,AO,120230,2,
33,"Cloro, mg",57,G,173,2,
34,"Iodio, µg",80,G,173,2,
35,"Manganese, mg",0.17,G,173,2,
36,VITAMINE IDROSOLUBILI,,,,,
37,"Vitamina B1, Tiamina, mg",0.18,02,1302,,
38,"Vitamina B2, Riboflavina, mg",0.32,02,1302,,
39,"Vitamina C, mg",2,02,1302,,
40,"Niacina, mg",2.60,02,1302,,
41,"Vitamina B6, mg",0.25,G,173,2,
42,"Folati totali, µg",12,G,173,2,
43,"Acido pantotenico, mg",0.14,G,173,2,
44,"Vitamina B12, µg",1.0,G,173,2,
45,VITAMINE LIPOSOLUBILI,,,,,
46,Retinolo equivalente,,,,,
47,"Retinolo eq. (RE), µg",980,02,1302,,nota: il contenuto di retinolo equivalenti e' molto variabile a seconda del peso e dell'eta' dell'anguilla
48,"Retinolo, µg",980,02,1302,3B,
49,"ß-carotene eq., µg",tr,02,1302,3B,
50,"Vitamina E (ATE), mg",4.14,G,173,2,
51,"Vitamina D, µg",4.90,G,173,2,
52,ACIDI GRASSI,,,,,
53,"Acidi grassi saturi totali, g",5.27,AA,120240,,
54,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",0.00,AA,120240,,
55,"Acido laurico, g",0.00,AA,120240,,
56,"Acido miristico, g",0.57,AA,120240,,
57,"Acido palmitico, g",3.43,AA,120240,,
58,"Acido stearico, g",0.85,AA,120240,,
59,"Acido arachidico, g",0.00,AA,120240,,
60,"Acido beenico, g",0.00,AA,120240,,
61,"Acidi grassi monoinsaturi totali, g",8.58,AA,120240,,
62,"Acido miristoleico, g",0.00,AA,120240,,
63,"Acido palmitoleico, g",1.72,AA,120240,,
64,"Acido oleico, g",6.57,AA,120240,,
65,"Acidi eicosenoico, g",0.24,AA,120240,,
66,"Acido erucico, g",0.05,AA,120240,,
67,"Acidi grassi polinsaturi totali, g",4.56,AA,120240,,
68,"Acido linoleico, g",0.43,AA,120240,,
69,"Acido linolenico, g",0.21,AA,120240,,
70,"Acido arachidonico, g",0.47,AA,12040,,
71,"Acido eicosapentaenoico (EPA), g",0.00,AA,120240,,
72,"Acido decosaesaenoico (DHA), g",0.00,AA,120240,,
73,"Altri acidi grassi polinsaturi, g",3.45,86,,,
74,AMINOACIDI,,,,,
75,"Triptofano, mg",164,AG,15025,3A,"Eel, mixed species, raw prot 18.44, Triptofano207, Treonina809, Isoleucina850, Leucina1499, Lisina1694, Metionina546, Cistina198, Fenilalanina720, Tirosina623, Valina950, Arginina1104, Istidina543, Alanina1115, Acido aspartico1889, Acido glutammico2753, Glicina885, Prolina652, Serina753"
76,"Treonina, mg",641,AG,15025,3A,
77,"Isoleucina, mg",673,AG,15025,3A,
78,"Leucina, mg",1187,AG,15025,3A,
79,"Lisina, mg",1341,AG,15025,3A,
80,"Metionina, mg",432,AG,15025,3A,
81,"Cistina, mg",157,AG,15025,3A,
82,"Fenilalanina, mg",570,AG,15025,3A,
83,"Tirosina, mg",493,AG,15025,3A,
84,"Valina, mg",752,AG,15025,3A,
85,"Arginina, mg",874,AG,15025,3A,
86,"Istidina, mg",430,AG,15025,3A,
87,"Alanina, mg",883,AG,15025,3A,
88,"Acido aspartico, mg",1496,AG,15025,3A,
89,"Acido glutammico, mg",2180,AG,15025,3A,
90,"Glicina, mg",701,AG,15025,3A,
91,"Prolina, mg",516,AG,15025,3A,
92,"Serina, mg",596,AG,15025,3A,
93,ZUCCHERI,,,,,
94,"Glucosio, g",0.7,87,,,
95,"Fruttosio, g",0.0,87,,,
96,"Galattosio, g",0.0,87,,,
97,"Saccarosio (MSE), g",0.0,87,,,
98,"Maltosio (MSE), g",0.0,87,,,
99,"Lattosio (MSE), g",0.0,87,,,
