,0,1,2,3,4,5
1,"Note Alimento: Formaggio italiano a pasta tenera, prodotto con latte vaccino e ovino.",,,,,
2,Categoria merceologica: 7001 - formaggi e latticini,,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",100,AO,160820,,
7,"Energia, ricalcolata, kJ",1592,86,,,
8,"Energia, Ric con fibra, kJ",1592,86,,,
9,"Energia, ricalcolata, kcal",384,86,,,
10,"Energia, Ric con fibra, kcal",384,86,,,
11,"Proteine totali, g",245,AO,160820,,
12,"Proteine animali, g",245,AO,160820,,
13,"Proteine vegetali, g",00,AO,160820,,
14,"Lipidi totali, g",310,AO,160820,,
15,"Lipidi animali, g",310,AO,160820,,
16,"Lipidi vegetali, g",00,AO,160820,,
17,"Colesterolo, mg",90,03,1205,6,"""Caciotta toscana"" acqua 40, prot 23,2, lip 28,8"
18,"Carboidrati disponibili (MSE), g",18,AO,160820,,
19,"Amido (MSE), g",00,AO,160820,,
20,"Carboidrati solubili (MSE), g",18,AO,160820,,
21,"Fibra alimentare totale, g",00,AO,160820,,
22,"Alcol, g",00,AO,160820,,
23,"Acqua, g",395,AO,160820,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",06,AO,160840,6,"""Caciotta toscana"" acqua 42,8, prot 24,6, lip 29,6"
26,"Calcio, mg",531,AO,160840,6,
27,"Sodio, mg",514,AO,160840,6,
28,"Potassio, mg",145,AO,160840,6,
29,"Fosforo, mg",496,AN,01035,2,"""Provolone"" acqua 40,95 prot 25.58, lip 26.62"
30,"Zinco, mg",370,AO,160820,,
31,"Magnesio, mg",30,AO,160820,,
32,"Rame, mg",003,AN,01035,2,
33,"Selenio, µg",80,AO,160820,,
34,"Cloro, mg",990,08,170,2,"""Mozzarella"" acqua 49,8, prot 25,1, lip 21, GD Tr."
35,"Iodio, µg",4,08,174,2,"""Quark"" acqua 80.4g, prot 14.6, lip tr"
36,"Manganese, mg",001,AN,01035,2,
37,"Zolfo, mg",110,08,174,2,
38,VITAMINE IDROSOLUBILI,,,,,
39,"Vitamina B1, Tiamina, mg",002,AN,01035,2,
40,"Vitamina B2, Riboflavina, mg",032,AN,01035,2,
41,"Vitamina C, mg",tr,AO,160820,,
42,"Niacina, mg",016,AN,01035,2,
43,"Vitamina B6, mg",007,AN,01035,2,
44,"Folati totali, µg",10,AN,01035,2,
45,"Acido pantotenico, mg",048,AN,01035,2,
46,"Biotina, µg",22,08,170,2,
47,"Vitamina B12, µg",15,AN,01035,2,
48,VITAMINE LIPOSOLUBILI,,,,,
49,Retinolo equivalente,,,,,
50,"Retinolo eq. (RE), µg",335,03,1233,3B,"""Provolone dolce"" acqua 33, prot 29.1, lip 29.8. In tab Req 418"
51,"Retinolo, µg",293,03,1233,2,
52,"ß-carotene eq., µg",251,03,1233,2,
53,"Vitamina E (ATE), mg",049,AO,160840,6,
54,"Vitamina D, µg",016,08,170,2,
55,ACIDI GRASSI,,,,,
56,"Acidi grassi saturi totali, g",1931,AO,160820,,
57,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",319,AO,160820,,
58,"Acido laurico, g",117,AO,160820,,
59,"Acido miristico, g",349,AO,160820,,
60,"Acido palmitico, g",842,AO,160820,,
61,"Acido stearico, g",304,AO,160820,,
62,"Acido arachidico, g",000,AO,160820,,
63,"Acido beenico, g",000,AO,160820,,
64,"Acidi grassi monoinsaturi totali, g",792,AO,160820,,
65,"Acido miristoleico, g",000,AO,160820,,
66,"Acido oleico, g",788,AO,160820,,
67,"Acidi eicosenoico, g",000,AO,160820,,
68,"Acido erucico, g",000,AO,160820,,
69,"Acidi grassi polinsaturi totali, g",213,AO,160820,,
70,"Acido linoleico, g",129,AO,160820,,
71,"Acido linolenico, g",084,AO,160820,,
72,"Acido arachidonico, g",000,AO,160820,,
73,"Acido eicosapentaenoico (EPA), g",000,AO,160820,,
74,"Acido decosaesaenoico (DHA), g",000,AO,160820,,
75,"Altri acidi grassi polinsaturi, g",000,86,,,
76,AMINOACIDI,,,,,
77,"Triptofano, mg",290,89,999001,3A,"Alimento completato da ricetta: ""Pecorino romano"" (codice AO 166060) 50g e ""Caciottina vaccina"" (codice BDA 8796) 50g"
78,"Treonina, mg",855,89,999001,3A,
79,"Isoleucina, mg",1192,89,999001,3A,
80,"Leucina, mg",2266,89,999001,3A,
81,"Lisina, mg",1816,89,999001,3A,
82,"Metionina, mg",729,89,999001,3A,
83,"Cistina, mg",141,89,999001,3A,
84,"Fenilalanina, mg",1198,89,999001,3A,
85,"Tirosina, mg",1286,89,999001,3A,
86,"Valina, mg",1558,89,999001,3A,
87,"Arginina, mg",726,89,999001,3A,
88,"Istidina, mg",620,89,999001,3A,
89,"Alanina, mg",703,89,999001,3A,
90,"Acido aspartico, mg",1582,89,999001,3A,
91,"Acido glutammico, mg",4408,89,999001,3A,
92,"Glicina, mg",432,89,999001,3A,
93,"Prolina, mg",2611,89,999001,3A,
94,"Serina, mg",1193,89,999001,3A,
95,ZUCCHERI,,,,,
96,"Glucosio, g",00,08,170,3A,Gluc=0
97,"Fruttosio, g",00,08,170,3A,Frutt=0
98,"Galattosio, g",00,08,170,3A,Gal=0
99,"Saccarosio (MSE), g",00,08,170,3A,Sacc=0
100,"Maltosio (MSE), g",00,08,170,3A,Mal=0
101,"Lattosio (MSE), g",18,08,170,3A,Latt=Tr.
