,0,1,2,3,4,5
1,Categoria merceologica: 2004 - crucifere,,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",76,02,315,,
6,"Energia, ricalcolata, kJ",159,86,,,
7,"Energia, Ric con fibra, kJ",200,86,,,
8,"Energia, ricalcolata, kcal",37,86,,,
9,"Energia, Ric con fibra, kcal",48,86,,,
10,"Proteine totali, g",42,02,315,,
11,"Proteine animali, g",00,02,315,,
12,"Proteine vegetali, g",42,02,315,,
13,"Lipidi totali, g",05,02,315,,
14,"Lipidi animali, g",00,02,315,,
15,"Lipidi vegetali, g",05,02,315,,
16,"Colesterolo, mg",0,02,315,,
17,"Carboidrati disponibili (MSE), g",43,02,315,,
18,"Amido (MSE), g",10,D,,,
19,"Carboidrati solubili (MSE), g",33,02,315,,
20,"Fibra alimentare totale, g",52,02,315,,
21,"Alcol, g",00,02,315,,
22,"Acqua, g",857,02,315,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",11,02,315,,
25,"Calcio, mg",51,02,315,,
26,"Sodio, mg",10,03,6015,,per i nutrienti 03/6015 non RIPR acqua=86g
27,"Potassio, mg",380,03,6015,,
28,"Fosforo, mg",50,02,315,,
29,"Zinco, mg",050,03,6015,,
30,VITAMINE IDROSOLUBILI,,,,,
31,"Vitamina B1, Tiamina, mg",008,02,315,,
32,"Vitamina B2, Riboflavina, mg",014,02,315,,
33,"Vitamina C, mg",81,02,315,,
34,"Niacina, mg",070,02,315,,
35,"Vitamina B6, mg",037,09,177,,per i nutrienti 09/177 non RIPR acqua=84.3g
36,"Folati totali, µg",135,09,177,,
37,VITAMINE LIPOSOLUBILI,,,,,
38,Retinolo equivalente,,,,,
39,"Retinolo eq. (RE), µg",220,02,315,,
40,"Retinolo, µg",0,02,315,,
41,"ß-carotene eq., µg",1320,02,315,,CALC
42,"Vitamina E (ATE), mg",100,09,177,,
43,"Vitamina D, µg",000,02,315,,
44,ACIDI GRASSI,,,,,
45,"Acidi grassi saturi totali, g",010,21,11098,,"RIPR riferito a Brussel sprouts, raw lip=0.3g saturi=0.062g 18:1=0.019g mono=0.023g 18:2=0.045g 18:3=0.099g altri PUFA=0.001g PUFA=0.153g"
46,"Acidi grassi monoinsaturi totali, g",004,21,11098,,
47,"Acido oleico, g",003,21,11098,,
48,"Acidi grassi polinsaturi totali, g",026,21,11098,,
49,"Acido linoleico, g",008,21,11098,,
50,"Acido linolenico, g",017,21,11098,,
51,"Altri acidi grassi polinsaturi, g",001,86,,,
