,0,1,2,3,4,5
1,Note Alimento: alimento interamente sostituito con versione aggiornata di SFK (1994),,,,,
2,"Categoria merceologica: 2007 - funghi, tartufi",,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",83,W,790,,
7,"Energia, ricalcolata, kJ",70,86,,,
8,"Energia, Ric con fibra, kJ",126,86,,,
9,"Energia, ricalcolata, kcal",17,86,,,
10,"Energia, Ric con fibra, kcal",31,86,,,
11,"Proteine totali, g",17,W,790,,
12,"Proteine animali, g",00,W,790,,
13,"Proteine vegetali, g",17,W,790,,
14,"Lipidi totali, g",03,W,790,,
15,"Lipidi animali, g",00,W,790,,
16,"Lipidi vegetali, g",03,W,790,,
17,"Colesterolo, mg",0,W,790,,
18,"Carboidrati disponibili (MSE), g",19,02,329,,"per i nutrienti 02/329 ALIMENTO SIMILE Funghi prataioli coltivati acqua=92.1g, lip=0.4g, prot=2.3g GD calcolati per differenza"
19,"Amido (MSE), g",10,02,329,,
20,"Carboidrati solubili (MSE), g",10,02,329,,"suddivisione dei GD come per 09/284 GD=0.4g, GS=0.2g, amido=0.2g"
21,"Fibra alimentare totale, g",70,W,790,,nota SFK: STIMA 100 - (acqua+prot+lip+minerali)
22,"Alcol, g",00,W,790,,
23,"Acqua, g",900,W,790,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",12,W,790,,
26,"Calcio, mg",11,W,790,,
27,"Sodio, mg",2,W,790,,
28,"Potassio, mg",390,W,790,,
29,"Fosforo, mg",162,W,,,
30,"Zinco, mg",040,09,284,,"per tutti i nutrienti 09/284 ALIMENTO SIMILE Mushrooms, raw acqua=92.6g, lip=0.5g, prot=1.8g (N tot - N non proteico)"
31,VITAMINE IDROSOLUBILI,,,,,
32,"Vitamina B1, Tiamina, mg",013,W,790,,
33,"Vitamina B2, Riboflavina, mg",006,W,790,,
34,"Vitamina C, mg",5,W,790,,
35,"Niacina, mg",420,02,329,,
36,"Vitamina B6, mg",018,09,284,,
37,"Folati totali, µg",44,09,284,,
38,VITAMINE LIPOSOLUBILI,,,,,
39,Retinolo equivalente,,,,,
40,"Retinolo eq. (RE), µg",0,02,329,,
41,"Retinolo, µg",0,02,329,,
42,"ß-carotene eq., µg",0,02,329,,
43,"Vitamina E (ATE), mg",019,W,790,,vit E activity = 188mcg total tocopherols = 510mcg alfa-tocopherol = 50mcg alfa-tocotrienol = 460mcg
44,"Vitamina D, µg",310,W,790,,
45,ACIDI GRASSI,,,,,
46,"Acidi grassi saturi totali, g",007,E,609,,RIPR lip=0.6g saturi=0.13g 18:1=tracce mono=tracce 18:2=0.06g 18:3=0.27g altri PUFA=0 PUFA=0.33g
47,"Acidi grassi monoinsaturi totali, g",tr,E,609,,
48,"Acido oleico, g",tr,E,609,,
49,"Acidi grassi polinsaturi totali, g",017,E,609,,
50,"Acido linoleico, g",003,E,609,,
51,"Acido linolenico, g",014,E,609,,
52,"Altri acidi grassi polinsaturi, g",000,86,,,
