,0,1,2,3,4,5
1,"Note Alimento: STIMA da RICETTA ingredienti: Funghi sott'olio (cod 100175), 50g + Carciofi sott'olio (cod 100170), 50g",,,,,
2,"Categoria merceologica: 2010 - olive, verdure sott’olio, sott’aceto, in agrodolce",,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",100,89,,,
7,"Energia, ricalcolata, kJ",243,86,,,
8,"Energia, Ric con fibra, kJ",262,86,,,
9,"Energia, ricalcolata, kcal",58,86,,,
10,"Energia, Ric con fibra, kcal",63,86,,,
11,"Proteine totali, g",26,89,,,
12,"Proteine animali, g",00,89,,,
13,"Proteine vegetali, g",26,89,,,
14,"Lipidi totali, g",48,89,,,
15,"Lipidi animali, g",00,89,,,
16,"Lipidi vegetali, g",48,89,,,
17,"Colesterolo, mg",0,89,,,
18,"Carboidrati disponibili (MSE), g",13,89,,,
19,"Amido (MSE), g",08,89,,,
20,"Carboidrati solubili (MSE), g",06,89,,,
21,"Fibra alimentare totale, g",25,89,,,
22,"Alcol, g",00,89,,,
23,"Acqua, g",845,89,,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",09,89,,,
26,"Calcio, mg",30,89,,,
27,"Sodio, mg",1352,89,,,
28,"Potassio, mg",123,89,,,
29,"Fosforo, mg",81,89,,,
30,"Zinco, mg",044,89,,,
31,VITAMINE IDROSOLUBILI,,,,,
32,"Vitamina B1, Tiamina, mg",008,89,,,
33,"Vitamina B2, Riboflavina, mg",011,89,,,
34,"Vitamina C, mg",0,89,,,
35,"Niacina, mg",227,89,,,
36,"Vitamina B6, mg",010,89,,,
37,"Folati totali, µg",53,89,,,
38,VITAMINE LIPOSOLUBILI,,,,,
39,Retinolo equivalente,,,,,
40,"Retinolo eq. (RE), µg",9,89,,,
41,"Retinolo, µg",0,89,,,
42,"ß-carotene eq., µg",51,89,,,
43,"Vitamina E (ATE), mg",251,89,,,
44,"Vitamina D, µg",000,89,,,
45,ACIDI GRASSI,,,,,
46,"Acidi grassi saturi totali, g",058,89,,,
47,"Acidi grassi monoinsaturi totali, g",152,89,,,
48,"Acido oleico, g",150,89,,,
49,"Acidi grassi polinsaturi totali, g",242,89,,,
50,"Acido linoleico, g",231,89,,,
51,"Acido linolenico, g",011,89,,,
52,"Altri acidi grassi polinsaturi, g",000,86,,,
