,0,1,2,3,4,5
1,"Note Alimento: Sinonimo= chiocciola, quando ha il guscio. CHIOCCIOLA: mollusco gasteropode polmonato, famiglia Elicidi. In Italia sono presenti vari generi (Helix, Cepaca, Pomatias), suddivisi in varie specie. Sono molluschi di terra, provvisti di conchiglia; la LUMACA invece ne e' sprovvista.",,,,,
2,"Categoria merceologica: 10007 - altri animali (diversi da bovini, suini, volatili, equini, ovini, conigli)",,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",24,02,1088,,
7,"Energia, ricalcolata, kJ",282,86,,,
8,"Energia, Ric con fibra, kJ",282,86,,,
9,"Energia, ricalcolata, kcal",67,86,,,
10,"Energia, Ric con fibra, kcal",67,86,,,
11,"Proteine totali, g",129,02,1088,,
12,"Proteine animali, g",129,02,1088,,
13,"Proteine vegetali, g",00,02,1088,,
14,"Lipidi totali, g",17,02,1088,,
15,"Lipidi animali, g",17,02,1088,,
16,"Lipidi vegetali, g",00,02,1088,,
17,"Colesterolo, mg",65,25,15177,2,"""Mollusk, whelk, unspecified, raw"" acqua=66g, lip=0.4g, prot=23.84g"
18,"Carboidrati disponibili (MSE), g",00,AA,109010,,
19,"Amido (MSE), g",00,02,1088,,
20,"Carboidrati solubili (MSE), g",00,AA,109010,,
21,"Fibra alimentare totale, g",00,02,1088,,
22,"Alcol, g",00,02,1088,,
23,"Acqua, g",828,02,1088,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",50,25,15177,2,
26,"Calcio, mg",57,25,15177,2,
27,"Sodio, mg",206,25,15177,2,
28,"Potassio, mg",347,25,15177,2,
29,"Fosforo, mg",141,25,15177,2,
30,"Zinco, mg",160,25,15177,2,
31,"Magnesio, mg",86,AG,15177,2,
32,"Rame, mg",103,AG,15177,2,
33,"Selenio, µg",450,AG,15177,2,Altra fonte I/5804 Se 50µg
34,"Cloro, mg",480,BF,682,2,"""Whelks, boiled"" acqua 73.9, prot 19.5, lip 1.2"
35,"Manganese, mg",045,AG,15177,2,
36,VITAMINE IDROSOLUBILI,,,,,
