,0,1,2,3,4,5
1,Note Alimento: sinonimo: fiocchi di patate,,,,,
2,"Categoria merceologica: 1001 - tuberi, patate, fecola, preparati per gnocchi",,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",100,03,424,,
7,"Energia, ricalcolata, kJ",1356,86,,,
8,"Energia, Ric con fibra, kJ",1488,86,,,
9,"Energia, ricalcolata, kcal",318,86,,,
10,"Energia, Ric con fibra, kcal",351,86,,,
11,"Proteine totali, g",91,03,424,,
12,"Proteine animali, g",00,03,424,,
13,"Proteine vegetali, g",91,03,424,,
14,"Lipidi totali, g",08,03,424,,
15,"Lipidi animali, g",00,03,424,,
16,"Lipidi vegetali, g",08,03,424,,
17,"Colesterolo, mg",0,03,424,,
18,"Carboidrati disponibili (MSE), g",732,03,424,,
19,"Amido (MSE), g",710,03,424,,
20,"Carboidrati solubili (MSE), g",22,03,424,,
21,"Fibra alimentare totale, g",165,03,424,,
22,"Alcol, g",00,03,424,,
23,"Acqua, g",70,03,424,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",24,03,424,,
26,"Calcio, mg",89,03,424,,
27,"Sodio, mg",1190,03,424,,
28,"Potassio, mg",1550,03,424,,
29,"Fosforo, mg",220,03,424,,
30,"Zinco, mg",110,03,424,,
31,VITAMINE IDROSOLUBILI,,,,,
32,"Vitamina B1, Tiamina, mg",004,03,424,,
33,"Vitamina B2, Riboflavina, mg",014,03,424,,
34,"Vitamina C, mg",12,03,424,,
35,"Niacina, mg",560,03,424,,Niacina equivalente=7.8mg
36,"Vitamina B6, mg",084,09,31,,per tutti i nutrienti 09/31 non Ripr acqua=7.3g
37,"Folati totali, µg",13,09,31,,
38,VITAMINE LIPOSOLUBILI,,,,,
39,Retinolo equivalente,,,,,
40,"Retinolo eq. (RE), µg",tr,03,424,,
41,"Retinolo, µg",0,03,424,,
42,"ß-carotene eq., µg",tr,03,424,,
43,"Vitamina E (ATE), mg",025,09,31,,
44,"Vitamina D, µg",000,03,424,,
45,ACIDI GRASSI,,,,,
46,"Acidi grassi saturi totali, g",019,E,650,,RIPR lip=0.6g saturi=0.14g 18:1=0.01g mono=0.01g 18:2=0.36g 18:3=0.15g altri PUFA=0 PUFA=0.47g
47,"Acidi grassi monoinsaturi totali, g",001,E,650,,
48,"Acido oleico, g",001,E,650,,
49,"Acidi grassi polinsaturi totali, g",063,E,650,,
50,"Acido linoleico, g",048,E,650,,
51,"Acido linolenico, g",015,E,650,,
52,"Altri acidi grassi polinsaturi, g",000,86,,,
