,0,1,2,3,4,5
1,Categoria merceologica: 3001 - legumi,,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",100,03,3011,,
6,"Energia, ricalcolata, kJ",237,86,,,
7,"Energia, Ric con fibra, kJ",315,86,,,
8,"Energia, ricalcolata, kcal",56,86,,,
9,"Energia, Ric con fibra, kcal",75,86,,,
10,"Proteine totali, g",58,03,3011,,in tab prot=prot tot=5.0g Ntot=0.92 FC=6.25
11,"Proteine animali, g",00,03,3011,,
12,"Proteine vegetali, g",58,03,3011,,
13,"Lipidi totali, g",08,03,3011,,
14,"Lipidi animali, g",00,03,3011,,
15,"Lipidi vegetali, g",08,03,3011,,
16,"Colesterolo, mg",0,03,3011,,
17,"Carboidrati disponibili (MSE), g",68,03,3011,,
18,"Amido (MSE), g",48,03,3011,,
19,"Carboidrati solubili (MSE), g",20,03,3011,,
20,"Fibra alimentare totale, g",97,03,3011,,
21,"Alcol, g",00,03,3011,,
22,"Acqua, g",760,03,3011,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",17,03,3011,,
25,"Calcio, mg",30,03,3011,,
26,"Sodio, mg",306,03,3011,,
27,"Potassio, mg",128,03,3011,,
28,"Fosforo, mg",73,03,3011,,
29,"Zinco, mg",110,03,3011,,
30,VITAMINE IDROSOLUBILI,,,,,
31,"Vitamina B1, Tiamina, mg",013,03,3011,,
32,"Vitamina B2, Riboflavina, mg",010,03,3011,,
33,"Vitamina C, mg",8,03,3011,,
34,"Niacina, mg",210,03,3011,,
35,"Vitamina B6, mg",006,09,135,,per i nutrienti 09/135 non RIPR acqua=77.9g
36,"Folati totali, µg",20,09,135,,
37,VITAMINE LIPOSOLUBILI,,,,,
38,Retinolo equivalente,,,,,
39,"Retinolo eq. (RE), µg",50,03,3011,,
40,"Retinolo, µg",0,03,3011,,
41,"ß-carotene eq., µg",300,03,3011,,
42,"Vitamina E (ATE), mg",022,09,135,,
43,"Vitamina D, µg",000,09,135,,
44,ACIDI GRASSI,,,,,
45,"Acidi grassi saturi totali, g",029,E,624,,"RIPR riferito a Peas, canned, garden lip=0.3g saturi=0.11g 18:1=0.09g mono=0.09g 18:2=0.03g 18:3=tracce altri PUFA=0 PUFA= 0.03g"
46,"Acidi grassi monoinsaturi totali, g",024,E,624,,
47,"Acido oleico, g",024,E,624,,
48,"Acidi grassi polinsaturi totali, g",008,E,624,,
49,"Acido linoleico, g",008,E,624,,
50,"Acido linolenico, g",tr,E,624,,
51,"Altri acidi grassi polinsaturi, g",000,86,,,
