,0,1,2,3,4,5
1,"Note Alimento: Nome Originale: ""Grapefruit, raw, pink and red, all areas""",,,,,
2,Categoria merceologica: 4001 - frutta fresca e bacche,,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",51,DI,09112,,
7,"Energia, ricalcolata, kJ",163,86,,,
8,"Energia, Ric con fibra, kJ",176,86,,,
9,"Energia, ricalcolata, kcal",38,86,,,
10,"Energia, Ric con fibra, kcal",41,86,,,
11,"Proteine totali, g",08,DI,09112,,
12,"Proteine animali, g",00,LZ,,,
13,"Proteine vegetali, g",08,DI,09112,,
14,"Lipidi totali, g",01,DI,09112,,
15,"Lipidi animali, g",00,LZ,,,
16,"Lipidi vegetali, g",01,DI,09112,,
17,"Colesterolo, mg",0,LZ,,,
18,"Carboidrati disponibili (MSE), g",91,DI,09112,4B,
19,"Amido (MSE), g",00,DI,09112,,
20,"Carboidrati solubili (MSE), g",69,DI,09112,,
21,"Fibra alimentare totale, g",16,DI,09112,,
22,"Alcol, g",00,LZ,,,
23,"Acqua, g",881,DI,09112,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",01,DI,09112,,
26,"Calcio, mg",22,DI,09112,,
27,"Sodio, mg",0,DI,09112,,
28,"Potassio, mg",135,DI,09112,,
29,"Fosforo, mg",18,DI,09112,,
30,"Zinco, mg",007,DI,09112,,
31,"Magnesio, mg",9,DI,09112,,
32,"Rame, mg",003,DI,09112,,
33,"Selenio, µg",01,DI,09112,,
34,"Cloro, mg",3,BF,952,2,"""Grapefruit, raw"" WATER 89g, PROT 0.8g, FAT 0.1g, CHO 6.8g, SUGAR 6.8g"
35,"Iodio, µg",tr,Y,3370,2,"""Grapefruit"" WATER 90g, PROT 0.7g, FAT 0.2g, CHO 6.5g, I < 1mcg"
36,"Manganese, mg",002,DI,09112,,
37,"Zolfo, mg",12,Y,3370,2,"""Grapefruit"" WATER 90g, PROT 0.7g, FAT 0.2g, CHO 6.5g"
38,VITAMINE IDROSOLUBILI,,,,,
39,"Vitamina B1, Tiamina, mg",004,DI,09112,,
40,"Vitamina B2, Riboflavina, mg",003,DI,09112,,
41,"Vitamina C, mg",31,DI,09112,,
42,"Niacina, mg",020,DI,09112,,
43,"Vitamina B6, mg",005,DI,09112,,
44,"Folati totali, µg",13,DI,09112,,
45,"Acido pantotenico, mg",026,DI,09112,,
46,"Biotina, µg",10,BF,952,2,"""Grapefruit, raw"" WATER 89g, PROT 0.8g, FAT 0.1g, CHO 6.8g, SUGAR 6.8g"
47,"Vitamina B12, µg",00,LZ,,,
48,VITAMINE LIPOSOLUBILI,,,,,
49,Retinolo equivalente,,,,,
50,"Retinolo eq. (RE), µg",114,DI,09112,3B,
51,"Retinolo, µg",0,LZ,,,
52,"ß-carotene eq., µg",686,DI,09112,,
53,"Vitamina E (ATE), mg",013,DI,09112,,solo TOCPHA
54,"Vitamina D, µg",000,LZ,,,
55,"Vitamina K, µg",000,DI,09112,,
56,ACIDI GRASSI,,,,,
57,"Acidi grassi saturi totali, g",002,DI,09112,,
58,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",000,DI,09112,,
59,"Acido laurico, g",000,DI,09112,,
60,"Acido miristico, g",000,DI,09112,,
61,"Acido palmitico, g",002,DI,09112,,
62,"Acido stearico, g",000,DI,09112,,
63,"Acidi grassi monoinsaturi totali, g",002,DI,09112,,
64,"Acido palmitoleico, g",000,DI,09112,,
65,"Acido oleico, g",002,DI,09112,,
66,"Acidi eicosenoico, g",000,DI,09112,,
67,"Acido erucico, g",000,DI,09112,,
68,"Acidi grassi polinsaturi totali, g",004,DI,09112,,
69,"Acido linoleico, g",003,DI,09112,,
70,"Acido linolenico, g",001,DI,09112,,
71,"Acido arachidonico, g",000,DI,09112,,
72,"Acido eicosapentaenoico (EPA), g",000,DI,09112,,
73,"Acido decosaesaenoico (DHA), g",000,DI,09112,,
74,"Altri acidi grassi polinsaturi, g",000,86,,,
75,AMINOACIDI,,,,,
76,"Triptofano, mg",8,DI,09112,,
77,"Treonina, mg",13,DI,09112,,
78,"Isoleucina, mg",8,DI,09112,,
79,"Leucina, mg",15,DI,09112,,
80,"Lisina, mg",19,DI,09112,,
81,"Metionina, mg",7,DI,09112,,
82,"Cistina, mg",8,DI,09112,,
83,"Fenilalanina, mg",8,DI,09112,,
84,"Tirosina, mg",13,DI,09112,,
85,"Valina, mg",15,DI,09112,,
86,"Arginina, mg",87,DI,09112,,
87,"Istidina, mg",8,DI,09112,,
88,"Alanina, mg",24,DI,09112,,
89,"Acido aspartico, mg",138,DI,09112,,
90,"Acido glutammico, mg",197,DI,09112,,
91,"Glicina, mg",15,DI,09112,,
92,"Prolina, mg",63,DI,09112,,
93,"Serina, mg",28,DI,09112,,
94,ZUCCHERI,,,,,
95,"Glucosio, g",16,DI,09112,,
96,"Fruttosio, g",18,DI,09112,,
97,"Galattosio, g",00,LZ,,,
98,"Saccarosio (MSE), g",35,DI,09112,,
99,"Maltosio (MSE), g",00,DI,09112,,
100,"Lattosio (MSE), g",00,DI,09112,,
