,0,1,2,3,4,5
1,"Categoria merceologica: 11001 - pesci vertebrati (freschi, surgelati o cotti)",,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",100,AA,123220,,
6,"Energia, ricalcolata, kJ",627,86,,,
7,"Energia, Ric con fibra, kJ",626,86,,,
8,"Energia, ricalcolata, kcal",149,86,,,
9,"Energia, Ric con fibra, kcal",149,86,,,
10,"Proteine totali, g",213,AA,123220,,
11,"Proteine animali, g",213,AA,123220,,
12,"Proteine vegetali, g",00,AA,123220,,
13,"Lipidi totali, g",68,AA,123220,,
14,"Lipidi animali, g",68,AA,123220,,
15,"Lipidi vegetali, g",00,AA,123220,,
16,"Colesterolo, mg",75,AA,123220,,
17,"Carboidrati disponibili (MSE), g",08,AO,123220,,
18,"Amido (MSE), g",00,AA,123220,,
19,"Carboidrati solubili (MSE), g",08,AO,123220,,
20,"Fibra alimentare totale, g",00,AA,123220,,
21,"Alcol, g",00,AA,123220,,
22,"Acqua, g",699,AA,123220,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",16,AA,123200,1,"""Spigola"" acqua 79g, prot 16.5g, lip 1.5g, Fe 1,1mg"
25,"Calcio, mg",30,AA,123220,,
26,"Sodio, mg",119,03,2617,2,"""Cernia di fondo"" acqua 74g, lip 6,7g, prot 19,38g"
27,"Potassio, mg",258,03,2617,2,
28,"Fosforo, mg",1150,AA,123220,,
29,"Zinco, mg",048,AF,15031,2,"""Grouper, mixed species"" acqua 79,12, lip 1,02, prot 19.38g."
30,"Magnesio, mg",31,AF,15031,2,
31,"Rame, mg",002,AF,15031,2,
32,"Selenio, µg",370,AF,15031,2,
33,"Cloro, mg",130,G,212,2,"""Sardines"" acqua 67,7g, lip 9,2g, prot 20.6g"
34,"Iodio, µg",29,G,212,2,
35,"Manganese, mg",001,AF,15031,2,
36,"Zolfo, mg",200,Y,7210,2,"""Flounder (ns)"" acqua 79g, prot 18.3g, lip 2.2g."
37,VITAMINE IDROSOLUBILI,,,,,
38,"Vitamina B1, Tiamina, mg",016,AA,123200,1,"B1 0,11mg"
39,"Vitamina B2, Riboflavina, mg",023,03,2657,1,"""Spigola"" acqua 79g, prot 16.5g, lip 1.5g, B2 0,16mg"
40,"Vitamina C, mg",0,AF,15031,2,
41,"Niacina, mg",430,03,2657,1,niacina eq 3mg
42,"Vitamina B6, mg",030,AF,15031,2,
43,"Folati totali, µg",9,AF,15031,2,
44,"Acido pantotenico, mg",075,AF,15031,2,
45,"Biotina, µg",60,G,212,2,
46,"Vitamina B12, µg",06,AF,15031,2,
47,VITAMINE LIPOSOLUBILI,,,,,
48,Retinolo equivalente,,,,,
49,"Retinolo eq. (RE), µg",97,AA,123200,1,"Ret Eq 21,5"
50,"Retinolo, µg",97,AA,123200,3B,
51,"ß-carotene eq., µg",tr,AA,123200,3B,
52,"Vitamina E (ATE), mg",050,AF,15031,2,
53,"Vitamina D, µg",1100,G,212,2,
54,ACIDI GRASSI,,,,,
55,"Acidi grassi saturi totali, g",144,AA,123220,,
56,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",000,AA,123220,,
57,"Acido laurico, g",000,AA,123220,,
58,"Acido miristico, g",034,AA,123220,,
