,0,1,2,3,4,5
1,"Note Alimento: Media aritmetica di: succo di arancia non zuccherato (cod. 9004) , succo di albicocca (cod. 100201), succo di pera (cod. 500029), succo di pesca (cod. 53018) e succo di pompelmo non zuccherato (cod. 805922)",,,,,
2,Categoria merceologica: 4010 - succhi e spremute di frutta,,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",100,89,,,
7,"Energia, ricalcolata, kJ",188,86,,,
8,"Energia, Ric con fibra, kJ",190,86,,,
9,"Energia, ricalcolata, kcal",44,86,,,
10,"Energia, Ric con fibra, kcal",45,86,,,
11,"Proteine totali, g",03,89,,,
12,"Proteine animali, g",00,LZ,,,
13,"Proteine vegetali, g",03,89,,,
14,"Lipidi totali, g",00,89,,,
15,"Lipidi animali, g",00,LZ,,,
16,"Lipidi vegetali, g",00,89,,,
17,"Colesterolo, mg",0,LZ,,,
18,"Carboidrati disponibili (MSE), g",114,89,,,
19,"Amido (MSE), g",00,89,,,
20,"Carboidrati solubili (MSE), g",114,89,,,
21,"Fibra alimentare totale, g",03,89,,,
22,"Alcol, g",00,LZ,,,
23,"Acqua, g",869,89,,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",03,89,,,
26,"Calcio, mg",10,89,,,
27,"Sodio, mg",6,89,,,
28,"Potassio, mg",75,89,,,
29,"Fosforo, mg",10,89,,,
30,"Zinco, mg",005,89,,,
31,"Magnesio, mg",6,89,,,
32,"Rame, mg",004,89,,,
33,"Selenio, µg",04,89,,,
34,"Cloro, mg",4,89,,,
35,"Iodio, µg",1,89,,,
36,"Manganese, mg",008,89,,,
37,"Zolfo, mg",5,89,,,
38,VITAMINE IDROSOLUBILI,,,,,
39,"Vitamina B1, Tiamina, mg",002,89,,,
40,"Vitamina B2, Riboflavina, mg",001,89,,,
41,"Vitamina C, mg",28,89,,,
42,"Niacina, mg",018,89,,,
43,"Vitamina B6, mg",003,89,,,
44,"Folati totali, µg",6,89,,,
45,"Acido pantotenico, mg",008,89,,,
46,"Biotina, µg",06,89,,,
47,"Vitamina B12, µg",00,LZ,,,
48,VITAMINE LIPOSOLUBILI,,,,,
49,Retinolo equivalente,,,,,
50,"Retinolo eq. (RE), µg",39,89,,,
51,"Retinolo, µg",0,LZ,,,
52,"ß-carotene eq., µg",235,89,,,
53,"Vitamina E (ATE), mg",017,89,,,
54,"Vitamina D, µg",000,LZ,,,
55,"Vitamina K, µg",082,89,,,
56,ACIDI GRASSI,,,,,
57,"Acidi grassi saturi totali, g",000,LZ,,,
58,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",000,LZ,,,
59,"Acido laurico, g",000,LZ,,,
60,"Acido miristico, g",000,LZ,,,
61,"Acido palmitico, g",000,LZ,,,
62,"Acido stearico, g",000,LZ,,,
63,"Acido arachidico, g",000,LZ,,,
64,"Acido beenico, g",000,LZ,,,
65,"Acidi grassi monoinsaturi totali, g",000,LZ,,,
66,"Acido miristoleico, g",000,LZ,,,
67,"Acido palmitoleico, g",000,LZ,,,
68,"Acido oleico, g",000,LZ,,,
69,"Acidi eicosenoico, g",000,LZ,,,
70,"Acido erucico, g",000,LZ,,,
71,"Acidi grassi polinsaturi totali, g",000,LZ,,,
72,"Acido linoleico, g",000,LZ,,,
73,"Acido linolenico, g",000,LZ,,,
74,"Acido arachidonico, g",000,LZ,,,
75,"Acido eicosapentaenoico (EPA), g",000,LZ,,,
76,"Acido decosaesaenoico (DHA), g",000,LZ,,,
77,"Altri acidi grassi polinsaturi, g",000,86,,,
78,AMINOACIDI,,,,,
79,"Triptofano, mg",2,89,,,
80,"Treonina, mg",7,89,,,
81,"Isoleucina, mg",7,89,,,
82,"Leucina, mg",11,89,,,
83,"Lisina, mg",13,89,,,
84,"Metionina, mg",3,89,,,
85,"Cistina, mg",3,89,,,
86,"Fenilalanina, mg",9,89,,,
87,"Tirosina, mg",5,89,,,
88,"Valina, mg",11,89,,,
89,"Arginina, mg",16,89,,,
90,"Istidina, mg",4,89,,,
91,"Alanina, mg",14,89,,,
92,"Acido aspartico, mg",49,89,,,
93,"Acido glutammico, mg",34,89,,,
94,"Glicina, mg",13,89,,,
95,"Prolina, mg",19,89,,,
96,"Serina, mg",11,89,,,
97,ZUCCHERI,,,,,
98,"Glucosio, g",26,89,,,
99,"Fruttosio, g",40,89,,,
100,"Galattosio, g",00,89,,,
101,"Saccarosio (MSE), g",47,89,,,
102,"Maltosio (MSE), g",00,89,,,
103,"Lattosio (MSE), g",00,89,,,
