,0,1,2,3,4,5
1,"Note Alimento: Nome Originale: ""Tangerine juice, raw""",,,,,
2,Categoria merceologica: 4010 - succhi e spremute di frutta,,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",100,DI,09221,,
7,"Energia, ricalcolata, kJ",174,86,,,
8,"Energia, Ric con fibra, kJ",176,86,,,
9,"Energia, ricalcolata, kcal",41,86,,,
10,"Energia, Ric con fibra, kcal",41,86,,,
11,"Proteine totali, g",0.5,DI,09221,,
12,"Proteine animali, g",0.0,LZ,,,
13,"Proteine vegetali, g",0.5,DI,09221,,
14,"Lipidi totali, g",0.2,DI,09221,,
15,"Lipidi animali, g",0.0,LZ,,,
16,"Lipidi vegetali, g",0.2,DI,09221,,
17,"Colesterolo, mg",0,LZ,,,
18,"Carboidrati disponibili (MSE), g",9.9,DI,09221,4B,
19,"Amido (MSE), g",0.0,85,,,amido=0 quando GD=GS
20,"Carboidrati solubili (MSE), g",9.9,DI,09221,,
21,"Fibra alimentare totale, g",0.2,DI,09221,,
22,"Alcol, g",0.0,LZ,,,
23,"Acqua, g",88.9,DI,09221,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",0.2,DI,09221,,
26,"Calcio, mg",18,DI,09221,,
27,"Sodio, mg",1,DI,09221,,
28,"Potassio, mg",178,DI,09221,,
29,"Fosforo, mg",14,DI,09221,,
30,"Zinco, mg",0.03,DI,09221,,
31,"Magnesio, mg",8,DI,09221,,
32,"Rame, mg",0.03,DI,09221,,
33,"Selenio, µg",0.1,DI,09221,,
34,"Cloro, mg",2,BF,937,2,"""Clementines"" WATER 87.5g, PROT 0.9g, FAT 0.1g, CHO 8.7g, SUGAR 8.7g"
35,"Iodio, µg",tr,Y,3301,2,"""Mandarin (Citrus reticulata)"" WATER 88g, PROT 0.6g, FAT 0.2g, CHO 8.3g"
36,"Manganese, mg",0.04,DI,09221,,
37,"Zolfo, mg",10,L,71,2,"""Clementines"" WATER 87.5g, PROT 0.9g, FAT 0.1g, CHO 8.7g, SUGAR 8.7g"
38,VITAMINE IDROSOLUBILI,,,,,
39,"Vitamina B1, Tiamina, mg",0.06,DI,09221,,
40,"Vitamina B2, Riboflavina, mg",0.02,DI,09221,,
41,"Vitamina C, mg",31,DI,09221,,
42,"Niacina, mg",0.10,DI,09221,,
43,"Vitamina B6, mg",0.04,DI,09221,,
44,"Folati totali, µg",5,DI,09221,,
45,"Acido pantotenico, mg",0.13,DI,09221,,
46,"Biotina, µg",0.5,Y,3301,2,"""Mandarin (Citrus reticulata)"" WATER 88g, PROT 0.6g, FAT 0.2g, CHO 8.3g"
47,"Vitamina B12, µg",0.0,LZ,,,
48,VITAMINE LIPOSOLUBILI,,,,,
49,Retinolo equivalente,,,,,
50,"Retinolo eq. (RE), µg",25,DI,09221,4B,
51,"Retinolo, µg",0,LZ,,,
52,"ß-carotene eq., µg",152,DI,09221,4B,
53,"Vitamina E (ATE), mg",0.13,DI,09221,,
54,"Vitamina D, µg",0.00,LZ,,,
55,"Vitamina K, µg",0.00,DI,09221,,
56,ACIDI GRASSI,,,,,
57,"Acidi grassi saturi totali, g",0.02,DI,09221,,
58,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",0.00,DI,09221,,
59,"Acido laurico, g",0.00,DI,09221,,
60,"Acido miristico, g",tr,DI,09221,,
61,"Acido palmitico, g",0.02,DI,09221,,
62,"Acido stearico, g",tr,DI,09221,,
63,"Acidi grassi monoinsaturi totali, g",0.04,DI,09221,,
64,"Acido palmitoleico, g",0.01,DI,09221,,
65,"Acido oleico, g",0.03,DI,09221,,
66,"Acidi eicosenoico, g",0.00,DI,09221,,
67,"Acido erucico, g",0.00,DI,09221,,
68,"Acidi grassi polinsaturi totali, g",0.04,DI,09221,,
69,"Acido linoleico, g",0.03,DI,09221,,
70,"Acido linolenico, g",0.01,DI,09221,,
71,"Acido arachidonico, g",0.00,DI,09221,,
72,"Acido eicosapentaenoico (EPA), g",0.00,DI,09221,,
73,"Acido decosaesaenoico (DHA), g",0.00,DI,09221,,
74,"Altri acidi grassi polinsaturi, g",0.00,86,,,
75,AMINOACIDI,,,,,
76,"Triptofano, mg",1,DI,09218,,
77,"Treonina, mg",6,DI,09218,,
78,"Isoleucina, mg",5,DI,09218,,
79,"Leucina, mg",10,DI,09218,,
80,"Lisina, mg",7,DI,09218,,
81,"Metionina, mg",2,DI,09218,,
82,"Cistina, mg",4,DI,09218,,
83,"Fenilalanina, mg",6,DI,09218,,
84,"Tirosina, mg",3,DI,09218,,
85,"Valina, mg",8,DI,09218,,
86,"Arginina, mg",34,DI,09218,,
87,"Istidina, mg",2,DI,09218,,
88,"Alanina, mg",11,DI,09218,,
89,"Acido aspartico, mg",53,DI,09218,,
90,"Acido glutammico, mg",24,DI,09218,,
91,"Glicina, mg",7,DI,09218,,
92,"Prolina, mg",31,DI,09218,,
93,"Serina, mg",9,DI,09218,,
94,ZUCCHERI,,,,,
95,"Glucosio, g",1.7,BF,937,3A,"Clementines WATER 87.5g, PROT 0.9g, FAT 0.1g, CHO 8.7g, SUGAR 8.7g, GLUS 1.5g"
96,"Fruttosio, g",1.9,BF,937,3A,"Clementines WATER 87.5g, PROT 0.9g, FAT 0.1g, CHO 8.7g, SUGAR 8.7g, FRUS 1.7g"
97,"Galattosio, g",0.0,LZ,,,
98,"Saccarosio (MSE), g",6.4,BF,937,3A,"Clementines WATER 87.5g, PROT 0.9g, FAT 0.1g, CHO 8.7g, SUGAR 8.7g, SUCS 5.6g"
