,0,1,2,3,4,5
1,Categoria merceologica: 2011 - alghe,,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",100,09,341,,
6,"Energia, ricalcolata, kJ",300,86,,,
7,"Energia, Ric con fibra, kJ",676,86,,,
8,"Energia, ricalcolata, kcal",71,86,,,
9,"Energia, Ric con fibra, kcal",165,86,,,
10,"Proteine totali, g",124,09,341,,
11,"Proteine animali, g",00,09,341,,
12,"Proteine vegetali, g",124,09,341,,
13,"Lipidi totali, g",24,09,341,,
14,"Lipidi animali, g",00,09,341,,
15,"Lipidi vegetali, g",24,09,341,,
16,"Colesterolo, mg",0,09,341,,
17,"Carboidrati disponibili (MSE), g",tr,09,341,,
18,"Amido (MSE), g",00,09,341,,
19,"Carboidrati solubili (MSE), g",tr,09,341,,
20,"Fibra alimentare totale, g",471,09,341,,
21,"Alcol, g",00,09,341,,
22,"Acqua, g",122,09,341,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",116,09,341,,
25,"Calcio, mg",660,09,341,,
26,"Sodio, mg",3220,09,341,,
27,"Potassio, mg",220,09,341,,
28,"Fosforo, mg",310,09,341,,
29,"Zinco, mg",170,09,341,,
30,VITAMINE IDROSOLUBILI,,,,,
31,"Vitamina B1, Tiamina, mg",011,09,341,,
32,"Vitamina B2, Riboflavina, mg",014,09,341,,
33,"Vitamina C, mg",15,09,341,,
34,"Niacina, mg",460,21,11669,,
35,"Vitamina B6, mg",001,09,341,,
36,"Folati totali, µg",196,21,11669,,"per i nutrienti 21/11669 ALIMENTO SIMILE Seaweed, wakame raw acqua=79.9g, lip=0.64g"
37,VITAMINE LIPOSOLUBILI,,,,,
38,Retinolo equivalente,,,,,
39,"Retinolo eq. (RE), µg",86,09,341,,CALC
40,"Retinolo, µg",0,09,341,,
41,"ß-carotene eq., µg",515,09,341,,
42,"Vitamina E (ATE), mg",100,21,11669,,
43,"Vitamina D, µg",000,09,341,,
44,ACIDI GRASSI,,,,,
45,"Acidi grassi saturi totali, g",049,21,11669,,RIPR lip=0.64g saturi=0.13g 18:1=0.02g mono=0.058g 18:2=0.01g 18:3=0.002g altri PUFA=0.206g PUFA=0.218g
46,"Acidi grassi monoinsaturi totali, g",022,21,11669,,
47,"Acido oleico, g",008,21,11669,,
48,"Acidi grassi polinsaturi totali, g",082,21,11669,,
49,"Acido linoleico, g",004,21,11669,,
50,"Acido linolenico, g",001,21,11669,,
51,"Altri acidi grassi polinsaturi, g",077,86,,,
