,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Andouille,100g,1 porzione (170 g),232 kcal,974 kJ,Salsicce e wurstel
1,Bacon,100g,1 fetta (26 g),407 kcal,1709 kJ,Salsicce e wurstel
2,Sanguinaccio,100g,1 fetta (25 g),379 kcal,1592 kJ,Salsicce e wurstel
3,Bockwurst,100g,1 salsiccia (91 g),301 kcal,1264 kJ,Salsicce e wurstel
4,Bratwurst,100g,1 bratwurst (66 g),297 kcal,1247 kJ,Salsicce e wurstel
5,Testa in cassetta / Soppressata,100g,1 fetta (28 g),157 kcal,659 kJ,Salsicce e wurstel
6,Petto di pollo,100g,1 fetta (21 g),79 kcal,332 kJ,Salsicce e wurstel
7,Carne di pollo,100g,1 fetta (21 g),79 kcal,332 kJ,Salsicce e wurstel
8,Insalata di pollo,100g,1 porzione (344 g),81 kcal,340 kJ,Salsicce e wurstel
9,Chorizo,100g,1 fetta (4 g),455 kcal,1911 kJ,Salsicce e wurstel
10,Prosciutto al forno,100g,1 fetta (33 g),133 kcal,559 kJ,Salsicce e wurstel
11,Manzo sotto sale,100g,1 fetta (28 g),153 kcal,643 kJ,Salsicce e wurstel
12,Würstel,100g,1 würstel (45 g),305 kcal,1281 kJ,Salsicce e wurstel
13,Hot Dog,100g,1 hot dog (52 g),278 kcal,1168 kJ,Salsicce e wurstel
14,Salsiccia,100g,1 porzione (168 g),149 kcal,626 kJ,Salsicce e wurstel
15,Kielbasa,100g,1 porzione (150 g),309 kcal,1298 kJ,Salsicce e wurstel
16,Knackwurst,100g,1 porzione (144 g),307 kcal,1289 kJ,Salsicce e wurstel
17,Landjaeger,100g,1 landjaeger (56.8 g),352 kcal,1478 kJ,Salsicce e wurstel
18,Leberwurst,100g,1 fetta (18 g),326 kcal,1369 kJ,Salsicce e wurstel
19,Mettwurst,100g,1 porzione (28 g),310 kcal,1302 kJ,Salsicce e wurstel
20,Mortadella,100g,1 fetta (15 g),311 kcal,1306 kJ,Salsicce e wurstel
21,Pastrami,100g,1 fetta (29 g),133 kcal,559 kJ,Salsicce e wurstel
22,Maiale,100g,1 fetta (21 g),247 kcal,1037 kJ,Salsicce e wurstel
23,Prosciutto,100g,1 fetta (9 g),195 kcal,819 kJ,Salsicce e wurstel
24,Salame,100g,1 fetta (12.3 g),336 kcal,1411 kJ,Salsicce e wurstel
25,Salsiccia,100g,1 salsiccia (16 g),230 kcal,966 kJ,Salsicce e wurstel
26,Salsiccia affumicata,100g,1 porzione (76 g),301 kcal,1264 kJ,Salsicce e wurstel
27,Weisswurst,100g,1 porzione (226 g),313 kcal,1315 kJ,Salsicce e wurstel
28,Patè di fegato,100g,1 cucchiaio (13 g),319 kcal,1340 kJ,Salsicce e wurstel
29,Bologna sausage,100g,1 fetta (23 g),247 kcal,1037 kJ,Salsicce e wurstel
30,Black Pudding,100g,1 fetta (25 g),379 kcal,1592 kJ,Salsicce e wurstel
31,Carne in scatola,100g,1 fetta (9.3 g),117 kcal,491 kJ,Salsicce e wurstel
32,Capocollo / Coppa,100g,1 fetta (23 g),103 kcal,433 kJ,Salsicce e wurstel
33,Bresaola,100g,1 fetta (9 g),151 kcal,634 kJ,Salsicce e wurstel
