0,1
Grassi saturi totali,14.96
C4:0\÷C10:0 (laurico),0.00
C12:0 (laurico),0.00
C14:0 (miristico),0.57
C16:0 (palmitico),11.69
C18:0 (stearico),2.30
C20:0 (arachidico),0.40
C22:0 (beenico),0.00
Grassi monoinsaturi totali,30.66
C14:1 (miristoleico),0.00
C16:1 (palmitoleico),0.40
C18:1 (oleico),29.88
C20:1 (eicosaenoico),0.19
C22:1 (erucico),0.19
Grassi polinsaturi totali,50.43
C18:2 W6 (linoleico),49.83
C18:3 W3 (linolenico),0.60
C20:4 W6 (arachidonico),0.00
C20:5 W3 (eicosapentaenoico - EPA),0.00
C22:6 W3 (docosaesaenoico - DHA),0.00
Rapporto Polinsaturi/Saturi,3.40
