,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,71%,-
2,Acqua,"61,50g",-
3,Carboidrati disponibili,"0,10g",-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,"0,10g",-
6,Proteine,"11,80g",-
7,Grassi (Lipidi),"23,70g",-
8,Saturi totali,,-
9,Monoinsaturi totali,,-
10,Polinsaturi totali,,-
11,Colesterolo,92mg,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,65mg,4.33% RDA
17,Potassio,217mg,4.62% RDA
18,Ferro,1mg,12.50% RDA
19,Calcio,31mg,3.10% RDA
20,Fosforo,218mg,31.14% RDA
21,Magnesio,27mg,6.43% RDA
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,18µg,32.73% RDA
25,Tiamina (Vit. B1),"0,15mg",12.50% RDA
26,Riboflavina (Vit. B2),"0,20mg",15.38% RDA
27,Niacina (Vit. B3 o PP),"3,50mg",21.88% RDA
28,Vitamina A retinolo eq.,1200µg,100% RDA
29,Vitamina C,2mg,2.22% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
