,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,55%,-
2,Acqua,"73,40g",-
3,Carboidrati disponibili,"0,70g",-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,"0,70g",-
6,Proteine,"15,80g",-
7,Grassi (Lipidi),"6,80g",-
8,Saturi totali,"1,78g",-
9,Monoinsaturi totali,"1,57g",-
10,Polinsaturi totali,"2,06g",-
11,Colesterolo,53mg,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,ND,-
17,Potassio,ND,-
18,Ferro,"1,80mg",22.50% RDA
19,Calcio,26mg,2.60% RDA
20,Fosforo,220mg,31.43% RDA
21,Magnesio,21mg,5% RDA
22,Zinco,2mg,18.18% RDA
23,Rame,1mg,100% RDA
24,Selenio,ND,-
25,Tiamina (Vit. B1),"0,06mg",5% RDA
26,Riboflavina (Vit. B2),"0,10mg",7.69% RDA
27,Niacina (Vit. B3 o PP),"7,30mg",45.63% RDA
28,Vitamina A retinolo eq.,17µg,1.89% RDA
29,Vitamina C,Tracce,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
