,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,68%,-
2,Acqua,"78,50g",-
3,Carboidrati disponibili,"0,50g",-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,"0,50g",-
6,Proteine,17g,-
7,Grassi (Lipidi),2g,-
8,Saturi totali,,-
9,Monoinsaturi totali,,-
10,Polinsaturi totali,,-
11,Colesterolo,,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,ND,-
17,Potassio,ND,-
18,Ferro,"0,30mg",3.75% RDA
19,Calcio,11mg,1.10% RDA
20,Fosforo,128mg,18.29% RDA
21,Magnesio,ND,-
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,ND,-
25,Tiamina (Vit. B1),"0,04mg",3.33% RDA
26,Riboflavina (Vit. B2),"0,12mg",9.23% RDA
27,Niacina (Vit. B3 o PP),"0,40mg",2.50% RDA
28,Vitamina A retinolo eq.,ND,-
29,Vitamina C,0mg,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
